Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,10,-3,-23.1%,3,+0.0%
May 2025,13,+2,+18.2%,3,+0.0%
April 2025,11,-6,-35.3%,3,-25.0%
March 2025,17,+6,+54.5%,4,+100.0%
February 2025,11,+1,+10.0%,2,+0.0%
January 2025,10,-1,-9.1%,2,-33.3%
December 2024,11,+2,+22.2%,3,+50.0%
November 2024,9,-1,-10.0%,2,+0.0%
October 2024,10,+1,+11.1%,2,+0.0%
September 2024,9,-4,-30.8%,2,+0.0%
August 2024,13,+3,+30.0%,2,+0.0%
July 2024,10,0,+0.0%,2,+0.0%
June 2024,10,0,+0.0%,2,+0.0%
May 2024,10,+2,+25.0%,2,+100.0%
April 2024,8,-2,-20.0%,1,-50.0%
March 2024,10,-1,-9.1%,2,+0.0%
February 2024,11,-1,-8.3%,2,+0.0%
January 2024,12,+1,+9.1%,2,+0.0%
December 2023,11,-4,-26.7%,2,+0.0%
November 2023,15,+5,+50.0%,2,+0.0%
October 2023,10,-2,-16.7%,2,+0.0%
September 2023,12,+5,+71.4%,2,+0.0%
August 2023,7,-4,-36.4%,2,-33.3%
July 2023,11,-3,-21.4%,3,+0.0%
June 2023,14,+7,+100.0%,3,+200.0%
May 2023,7,0,+0.0%,1,-50.0%
April 2023,7,-3,-30.0%,2,+0.0%
March 2023,10,+2,+25.0%,2,+100.0%
February 2023,8,-1,-11.1%,1,-50.0%
January 2023,9,-1,-10.0%,2,+0.0%
December 2022,10,+1,+11.1%,2,+0.0%
November 2022,9,-1,-10.0%,2,+0.0%
October 2022,10,-1,-9.1%,2,-
September 2022,11,+3,+37.5%,-,-
August 2022,8,-3,-27.3%,-,-
July 2022,11,-1,-8.3%,-,-
June 2022,12,+4,+50.0%,-,-
May 2022,8,0,+0.0%,-,-
April 2022,8,-3,-27.3%,-,-
March 2022,11,+1,+10.0%,-,-
February 2022,10,-1,-9.1%,-,-
January 2022,11,-8,-42.1%,-,-
December 2021,19,+12,+171.4%,-,-
November 2021,7,-5,-41.7%,-,-
October 2021,12,+2,+20.0%,-,-
September 2021,10,-1,-9.1%,-,-
August 2021,11,0,+0.0%,-,-
July 2021,11,0,+0.0%,-,-
June 2021,11,0,+0.0%,-,-
May 2021,11,+2,+22.2%,-,-
April 2021,9,-7,-43.8%,-,-
March 2021,16,-2,-11.1%,-,-
February 2021,18,+3,+20.0%,-,-
January 2021,15,0,+0.0%,-,-
December 2020,15,+2,+15.4%,-,-
November 2020,13,-8,-38.1%,-,-
October 2020,21,+12,+133.3%,-,-
September 2020,9,-4,-30.8%,-,-
August 2020,13,-3,-18.8%,-,-
July 2020,16,+4,+33.3%,-,-
June 2020,12,-8,-40.0%,-,-
May 2020,20,+4,+25.0%,-,-
April 2020,16,-6,-27.3%,-,-
March 2020,22,+10,+83.3%,-,-
February 2020,12,-4,-25.0%,-,-
January 2020,16,0,+0.0%,-,-
December 2019,16,+2,+14.3%,-,-
November 2019,14,+4,+40.0%,-,-
October 2019,10,0,+0.0%,-,-
September 2019,10,-6,-37.5%,-,-
August 2019,16,+4,+33.3%,-,-
July 2019,12,-3,-20.0%,-,-
June 2019,15,+1,+7.1%,-,-
May 2019,14,+3,+27.3%,-,-
April 2019,11,-10,-47.6%,-,-
March 2019,21,+4,+23.5%,-,-
February 2019,17,+2,+13.3%,-,-
January 2019,15,-18,-54.5%,-,-
December 2018,33,+20,+153.8%,-,-
November 2018,13,+1,+8.3%,-,-
October 2018,12,-12,-50.0%,-,-
September 2018,24,+12,+100.0%,-,-
August 2018,12,-4,-25.0%,-,-
July 2018,16,-7,-30.4%,-,-
June 2018,23,-7,-23.3%,-,-
May 2018,30,+14,+87.5%,-,-
April 2018,16,-6,-27.3%,-,-
March 2018,22,+8,+57.1%,-,-
February 2018,14,-6,-30.0%,-,-
January 2018,20,+4,+25.0%,-,-
December 2017,16,+4,+33.3%,-,-
November 2017,12,-6,-33.3%,-,-
October 2017,18,-4,-18.2%,-,-
September 2017,22,+11,+100.0%,-,-
August 2017,11,-4,-26.7%,-,-
July 2017,15,0,+0.0%,-,-
June 2017,15,+4,+36.4%,-,-
May 2017,11,0,+0.0%,-,-
April 2017,11,-2,-15.4%,-,-
March 2017,13,+5,+62.5%,-,-
February 2017,8,-14,-63.6%,-,-
January 2017,22,+3,+15.8%,-,-
December 2016,19,+3,+18.8%,-,-
November 2016,16,+9,+128.6%,-,-
October 2016,7,-4,-36.4%,-,-
September 2016,11,+2,+22.2%,-,-
August 2016,9,-8,-47.1%,-,-
July 2016,17,-3,-15.0%,-,-
June 2016,20,-2,-9.1%,-,-
May 2016,22,+14,+175.0%,-,-
April 2016,8,-8,-50.0%,-,-
March 2016,16,-10,-38.5%,-,-
February 2016,26,-37,-58.7%,-,-
January 2016,63,-67,-51.5%,-,-
December 2015,130,-,-,-,-
