Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,614,0,+0.0%,300,+4.9%
May 2025,614,-288,-31.9%,286,-33.5%
April 2025,902,0,+0.0%,430,-14.0%
March 2025,902,+179,+24.8%,500,+74.8%
February 2025,723,+69,+10.6%,286,-16.6%
January 2025,654,+12,+1.9%,343,-10.0%
December 2024,642,-70,-9.8%,381,+89.6%
November 2024,712,+170,+31.4%,201,-15.9%
October 2024,542,+63,+13.2%,239,+15.5%
September 2024,479,+79,+19.8%,207,-0.5%
August 2024,400,-138,-25.7%,208,-33.8%
July 2024,538,+16,+3.1%,314,+35.3%
June 2024,522,-188,-26.5%,232,-18.6%
May 2024,710,+183,+34.7%,285,+28.4%
April 2024,527,+4,+0.8%,222,-14.9%
March 2024,523,-43,-7.6%,261,+4.8%
February 2024,566,+92,+19.4%,249,+0.8%
January 2024,474,-126,-21.0%,247,-20.8%
December 2023,600,+117,+24.2%,312,+50.7%
November 2023,483,+98,+25.5%,207,+4.0%
October 2023,385,-245,-38.9%,199,-20.1%
September 2023,630,+159,+33.8%,249,+0.4%
August 2023,471,-179,-27.5%,248,-35.2%
July 2023,650,-1,-0.2%,383,+29.4%
June 2023,651,+416,+177.0%,296,+134.9%
May 2023,235,-59,-20.1%,126,-14.9%
April 2023,294,-12,-3.9%,148,-11.9%
March 2023,306,+75,+32.5%,168,+34.4%
February 2023,231,-117,-33.6%,125,-34.6%
January 2023,348,-10,-2.8%,191,-7.3%
December 2022,358,+27,+8.2%,206,+21.9%
November 2022,331,-207,-38.5%,169,-34.0%
October 2022,538,+147,+37.6%,256,-
September 2022,391,+9,+2.4%,-,-
August 2022,382,+16,+4.4%,-,-
July 2022,366,+20,+5.8%,-,-
June 2022,346,+135,+64.0%,-,-
May 2022,211,-73,-25.7%,-,-
April 2022,284,-44,-13.4%,-,-
March 2022,328,+32,+10.8%,-,-
February 2022,296,-64,-17.8%,-,-
January 2022,360,+4,+1.1%,-,-
December 2021,356,+75,+26.7%,-,-
November 2021,281,-10,-3.4%,-,-
October 2021,291,-22,-7.0%,-,-
September 2021,313,-71,-18.5%,-,-
August 2021,384,+101,+35.7%,-,-
July 2021,283,+20,+7.6%,-,-
June 2021,263,-14,-5.1%,-,-
May 2021,277,-37,-11.8%,-,-
April 2021,314,-75,-19.3%,-,-
March 2021,389,+58,+17.5%,-,-
February 2021,331,-43,-11.5%,-,-
January 2021,374,+39,+11.6%,-,-
December 2020,335,-52,-13.4%,-,-
November 2020,387,-80,-17.1%,-,-
October 2020,467,+225,+93.0%,-,-
September 2020,242,-113,-31.8%,-,-
August 2020,355,-39,-9.9%,-,-
July 2020,394,+47,+13.5%,-,-
June 2020,347,-265,-43.3%,-,-
May 2020,612,+149,+32.2%,-,-
April 2020,463,-5,-1.1%,-,-
March 2020,468,+148,+46.3%,-,-
February 2020,320,-49,-13.3%,-,-
January 2020,369,+113,+44.1%,-,-
December 2019,256,+29,+12.8%,-,-
November 2019,227,+1,+0.4%,-,-
October 2019,226,+3,+1.3%,-,-
September 2019,223,-27,-10.8%,-,-
August 2019,250,+8,+3.3%,-,-
July 2019,242,-77,-24.1%,-,-
June 2019,319,-86,-21.2%,-,-
May 2019,405,"-1,149",-73.9%,-,-
April 2019,"1,554","-2,007",-56.4%,-,-
March 2019,"3,561",-,-,-,-
