Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,21,-16,-43.2%,7,-22.2%
May 2025,37,-10,-21.3%,9,-40.0%
April 2025,47,+5,+11.9%,15,-21.1%
March 2025,42,+6,+16.7%,19,+46.2%
February 2025,36,+13,+56.5%,13,+85.7%
January 2025,23,-7,-23.3%,7,-12.5%
December 2024,30,+14,+87.5%,8,+100.0%
November 2024,16,+3,+23.1%,4,+0.0%
October 2024,13,-1,-7.1%,4,+33.3%
September 2024,14,-4,-22.2%,3,-40.0%
August 2024,18,-3,-14.3%,5,-16.7%
July 2024,21,-1,-4.5%,6,+20.0%
June 2024,22,-7,-24.1%,5,-28.6%
May 2024,29,+11,+61.1%,7,+40.0%
April 2024,18,-3,-14.3%,5,-16.7%
March 2024,21,-6,-22.2%,6,-14.3%
February 2024,27,+6,+28.6%,7,+16.7%
January 2024,21,-6,-22.2%,6,-25.0%
December 2023,27,+5,+22.7%,8,+60.0%
November 2023,22,+5,+29.4%,5,+25.0%
October 2023,17,+4,+30.8%,4,+33.3%
September 2023,13,-1,-7.1%,3,-25.0%
August 2023,14,-11,-44.0%,4,-42.9%
July 2023,25,-1,-3.8%,7,+40.0%
June 2023,26,+12,+85.7%,5,+25.0%
May 2023,14,-8,-36.4%,4,-33.3%
April 2023,22,+2,+10.0%,6,+20.0%
March 2023,20,+4,+25.0%,5,+25.0%
February 2023,16,-3,-15.8%,4,-42.9%
January 2023,19,-5,-20.8%,7,+16.7%
December 2022,24,+6,+33.3%,6,+20.0%
November 2022,18,-10,-35.7%,5,-28.6%
October 2022,28,+7,+33.3%,7,-
September 2022,21,-8,-27.6%,-,-
August 2022,29,-6,-17.1%,-,-
July 2022,35,-3,-7.9%,-,-
June 2022,38,+24,+171.4%,-,-
May 2022,14,-7,-33.3%,-,-
April 2022,21,-8,-27.6%,-,-
March 2022,29,0,+0.0%,-,-
February 2022,29,0,+0.0%,-,-
January 2022,29,+2,+7.4%,-,-
December 2021,27,+11,+68.8%,-,-
November 2021,16,-13,-44.8%,-,-
October 2021,29,+16,+123.1%,-,-
September 2021,13,-3,-18.8%,-,-
August 2021,16,+2,+14.3%,-,-
July 2021,14,-9,-39.1%,-,-
