Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,326,-155,-32.2%,159,-20.1%
May 2025,481,+108,+29.0%,199,+7.0%
April 2025,373,-96,-20.5%,186,-23.1%
March 2025,469,+120,+34.4%,242,+50.3%
February 2025,349,-111,-24.1%,161,-27.1%
January 2025,460,+14,+3.1%,221,+3.8%
December 2024,446,+216,+93.9%,213,+131.5%
November 2024,230,-21,-8.4%,92,-19.3%
October 2024,251,-67,-21.1%,114,-12.3%
September 2024,318,-28,-8.1%,130,-19.3%
August 2024,346,+53,+18.1%,161,+10.3%
July 2024,293,-83,-22.1%,146,-10.4%
June 2024,376,+104,+38.2%,163,+41.7%
May 2024,272,-60,-18.1%,115,-11.5%
April 2024,332,+58,+21.2%,130,-4.4%
March 2024,274,-22,-7.4%,136,+5.4%
February 2024,296,+8,+2.8%,129,-5.8%
January 2024,288,-11,-3.7%,137,-11.0%
December 2023,299,+30,+11.2%,154,+41.3%
November 2023,269,+19,+7.6%,109,-3.5%
October 2023,250,+34,+15.7%,113,+6.6%
September 2023,216,-130,-37.6%,106,-32.9%
August 2023,346,-71,-17.0%,158,-21.4%
July 2023,417,+66,+18.8%,201,+27.2%
June 2023,351,+185,+111.4%,158,+85.9%
May 2023,166,-86,-34.1%,85,-23.4%
April 2023,252,-117,-31.7%,111,-27.0%
March 2023,369,+164,+80.0%,152,+50.5%
February 2023,205,-133,-39.3%,101,-38.0%
January 2023,338,-56,-14.2%,163,-17.7%
December 2022,394,+79,+25.1%,198,+58.4%
November 2022,315,-62,-16.4%,125,-28.2%
October 2022,377,+64,+20.4%,174,-
September 2022,313,+13,+4.3%,-,-
August 2022,300,+32,+11.9%,-,-
July 2022,268,-43,-13.8%,-,-
June 2022,311,+143,+85.1%,-,-
May 2022,168,-100,-37.3%,-,-
April 2022,268,-35,-11.6%,-,-
March 2022,303,+36,+13.5%,-,-
February 2022,267,-65,-19.6%,-,-
January 2022,332,-10,-2.9%,-,-
December 2021,342,+117,+52.0%,-,-
November 2021,225,-70,-23.7%,-,-
October 2021,295,+66,+28.8%,-,-
September 2021,229,-116,-33.6%,-,-
August 2021,345,+91,+35.8%,-,-
July 2021,254,+18,+7.6%,-,-
June 2021,236,+6,+2.6%,-,-
May 2021,230,-18,-7.3%,-,-
April 2021,248,-92,-27.1%,-,-
March 2021,340,+20,+6.3%,-,-
February 2021,320,-58,-15.3%,-,-
January 2021,378,+49,+14.9%,-,-
December 2020,329,-44,-11.8%,-,-
November 2020,373,-52,-12.2%,-,-
October 2020,425,+245,+136.1%,-,-
September 2020,180,-66,-26.8%,-,-
August 2020,246,-76,-23.6%,-,-
July 2020,322,+68,+26.8%,-,-
June 2020,254,-247,-49.3%,-,-
May 2020,501,+91,+22.2%,-,-
April 2020,410,-28,-6.4%,-,-
March 2020,438,+174,+65.9%,-,-
February 2020,264,-24,-8.3%,-,-
January 2020,288,+59,+25.8%,-,-
December 2019,229,+6,+2.7%,-,-
November 2019,223,+1,+0.5%,-,-
October 2019,222,+61,+37.9%,-,-
September 2019,161,-95,-37.1%,-,-
August 2019,256,+36,+16.4%,-,-
July 2019,220,+10,+4.8%,-,-
June 2019,210,-25,-10.6%,-,-
