Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,252,+4,+1.6%,128,+0.0%
April 2025,248,-18,-6.8%,128,-4.5%
March 2025,266,-139,-34.3%,134,-26.0%
February 2025,405,-71,-14.9%,181,-9.5%
January 2025,476,-47,-9.0%,200,+11.7%
December 2024,523,+315,+151.4%,179,+79.0%
November 2024,208,-43,-17.1%,100,-10.7%
October 2024,251,-182,-42.0%,112,-35.6%
September 2024,433,-112,-20.6%,174,-25.0%
August 2024,545,+341,+167.2%,232,+127.5%
July 2024,204,+11,+5.7%,102,+13.3%
June 2024,193,+7,+3.8%,90,-2.2%
May 2024,186,-68,-26.8%,92,-22.0%
April 2024,254,-39,-13.3%,118,-15.7%
March 2024,293,-1,-0.3%,140,+30.8%
February 2024,294,+100,+51.5%,107,+15.1%
January 2024,194,-17,-8.1%,93,+0.0%
December 2023,211,+25,+13.4%,93,+4.5%
November 2023,186,+15,+8.8%,89,+14.1%
October 2023,171,-37,-17.8%,78,-18.8%
September 2023,208,-11,-5.0%,96,+1.1%
August 2023,219,-84,-27.7%,95,-19.5%
July 2023,303,+132,+77.2%,118,+35.6%
June 2023,171,-17,-9.0%,87,-4.4%
May 2023,188,-39,-17.2%,91,-17.3%
April 2023,227,-31,-12.0%,110,-10.6%
March 2023,258,-24,-8.5%,123,+1.7%
February 2023,282,+27,+10.6%,121,-8.3%
January 2023,255,+43,+20.3%,132,+34.7%
December 2022,212,-9,-4.1%,98,-3.0%
November 2022,221,+31,+16.3%,101,+6.3%
October 2022,190,+1,+0.5%,95,-
September 2022,189,-23,-10.8%,-,-
August 2022,212,-22,-9.4%,-,-
July 2022,234,+24,+11.4%,-,-
June 2022,210,-5,-2.3%,-,-
May 2022,215,-28,-11.5%,-,-
April 2022,243,+16,+7.0%,-,-
March 2022,227,-83,-26.8%,-,-
February 2022,310,+46,+17.4%,-,-
January 2022,264,-9,-3.3%,-,-
December 2021,273,+37,+15.7%,-,-
November 2021,236,-18,-7.1%,-,-
October 2021,254,+56,+28.3%,-,-
September 2021,198,-26,-11.6%,-,-
August 2021,224,-29,-11.5%,-,-
July 2021,253,-11,-4.2%,-,-
June 2021,264,+29,+12.3%,-,-
May 2021,235,-43,-15.5%,-,-
April 2021,278,-53,-16.0%,-,-
March 2021,331,+56,+20.4%,-,-
February 2021,275,-24,-8.0%,-,-
January 2021,299,+33,+12.4%,-,-
December 2020,266,+35,+15.2%,-,-
November 2020,231,+9,+4.1%,-,-
October 2020,222,-12,-5.1%,-,-
September 2020,234,-39,-14.3%,-,-
August 2020,273,+29,+11.9%,-,-
July 2020,244,-102,-29.5%,-,-
June 2020,346,-160,-31.6%,-,-
May 2020,506,-70,-12.2%,-,-
April 2020,576,+106,+22.6%,-,-
March 2020,470,+230,+95.8%,-,-
February 2020,240,-42,-14.9%,-,-
January 2020,282,+18,+6.8%,-,-
December 2019,264,-63,-19.3%,-,-
November 2019,327,-178,-35.2%,-,-
October 2019,505,-212,-29.6%,-,-
September 2019,717,+190,+36.1%,-,-
August 2019,527,-142,-21.2%,-,-
July 2019,669,-177,-20.9%,-,-
June 2019,846,-168,-16.6%,-,-
May 2019,"1,014","-6,635",-86.7%,-,-
April 2019,"7,649","+3,175",+71.0%,-,-
March 2019,"4,474","+2,596",+138.2%,-,-
February 2019,"1,878",+195,+11.6%,-,-
January 2019,"1,683",-209,-11.0%,-,-
December 2018,"1,892",+200,+11.8%,-,-
November 2018,"1,692",+384,+29.4%,-,-
October 2018,"1,308",-345,-20.9%,-,-
September 2018,"1,653",+346,+26.5%,-,-
August 2018,"1,307",-755,-36.6%,-,-
July 2018,"2,062",-144,-6.5%,-,-
June 2018,"2,206",+175,+8.6%,-,-
May 2018,"2,031",+447,+28.2%,-,-
April 2018,"1,584",-831,-34.4%,-,-
March 2018,"2,415",+252,+11.7%,-,-
February 2018,"2,163",-11,-0.5%,-,-
January 2018,"2,174",-222,-9.3%,-,-
December 2017,"2,396",+225,+10.4%,-,-
