Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,35,-1,-2.8%,13,-7.1%
April 2025,36,-18,-33.3%,14,-26.3%
March 2025,54,-24,-30.8%,19,-29.6%
February 2025,78,+10,+14.7%,27,+12.5%
January 2025,68,+12,+21.4%,24,-7.7%
December 2024,56,-61,-52.1%,26,-29.7%
November 2024,117,+9,+8.3%,37,+2.8%
October 2024,108,+34,+45.9%,36,+24.1%
September 2024,74,-6,-7.5%,29,+52.6%
August 2024,80,+41,+105.1%,19,+18.8%
July 2024,39,+2,+5.4%,16,+45.5%
June 2024,37,0,+0.0%,11,-21.4%
May 2024,37,+2,+5.7%,14,+16.7%
April 2024,35,-4,-10.3%,12,+0.0%
March 2024,39,+14,+56.0%,12,+33.3%
February 2024,25,-9,-26.5%,9,-35.7%
January 2024,34,-6,-15.0%,14,+0.0%
December 2023,40,-17,-29.8%,14,-17.6%
November 2023,57,-15,-20.8%,17,-32.0%
October 2023,72,-11,-13.3%,25,+31.6%
September 2023,83,+39,+88.6%,19,+35.7%
August 2023,44,+12,+37.5%,14,+7.7%
July 2023,32,+4,+14.3%,13,+44.4%
June 2023,28,-12,-30.0%,9,-35.7%
May 2023,40,-4,-9.1%,14,+27.3%
April 2023,44,+4,+10.0%,11,-21.4%
March 2023,40,+12,+42.9%,14,+16.7%
February 2023,28,-17,-37.8%,12,-25.0%
January 2023,45,+3,+7.1%,16,-11.1%
December 2022,42,-87,-67.4%,18,-41.9%
November 2022,129,+35,+37.2%,31,+72.2%
October 2022,94,+51,+118.6%,18,-
September 2022,43,+15,+53.6%,-,-
August 2022,28,-12,-30.0%,-,-
July 2022,40,-40,-50.0%,-,-
June 2022,80,+37,+86.0%,-,-
May 2022,43,+19,+79.2%,-,-
April 2022,24,-2,-7.7%,-,-
March 2022,26,-2,-7.1%,-,-
February 2022,28,-14,-33.3%,-,-
January 2022,42,-1,-2.3%,-,-
December 2021,43,-3,-6.5%,-,-
November 2021,46,-32,-41.0%,-,-
October 2021,78,-8,-9.3%,-,-
September 2021,86,+64,+290.9%,-,-
August 2021,22,-19,-46.3%,-,-
July 2021,41,-1,-2.4%,-,-
June 2021,42,-3,-6.7%,-,-
May 2021,45,-4,-8.2%,-,-
April 2021,49,+27,+122.7%,-,-
March 2021,22,-8,-26.7%,-,-
February 2021,30,-3,-9.1%,-,-
January 2021,33,-3,-8.3%,-,-
December 2020,36,-1,-2.7%,-,-
November 2020,37,-20,-35.1%,-,-
October 2020,57,+12,+26.7%,-,-
September 2020,45,+26,+136.8%,-,-
August 2020,19,-21,-52.5%,-,-
July 2020,40,+1,+2.6%,-,-
June 2020,39,-21,-35.0%,-,-
May 2020,60,+5,+9.1%,-,-
April 2020,55,+9,+19.6%,-,-
March 2020,46,+24,+109.1%,-,-
February 2020,22,-7,-24.1%,-,-
January 2020,29,+2,+7.4%,-,-
December 2019,27,+1,+3.8%,-,-
November 2019,26,-12,-31.6%,-,-
October 2019,38,+21,+123.5%,-,-
September 2019,17,0,+0.0%,-,-
August 2019,17,-5,-22.7%,-,-
July 2019,22,-10,-31.3%,-,-
June 2019,32,-53,-62.4%,-,-
May 2019,85,-,-,-,-
