Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"6,080","-1,122",-15.6%,"3,544",-13.9%
April 2025,"7,202",-100,-1.4%,"4,118",+6.6%
March 2025,"7,302","+1,342",+22.5%,"3,862",+12.5%
February 2025,"5,960",+46,+0.8%,"3,434",-1.5%
January 2025,"5,914",+460,+8.4%,"3,485",+10.0%
December 2024,"5,454",+166,+3.1%,"3,169",+0.3%
November 2024,"5,288",-400,-7.0%,"3,161",+4.3%
October 2024,"5,688",+346,+6.5%,"3,030",-0.4%
September 2024,"5,342","-1,057",-16.5%,"3,041",-18.3%
August 2024,"6,399","-2,077",-24.5%,"3,723",-18.7%
July 2024,"8,476","-11,346",-57.2%,"4,582",-43.2%
June 2024,"19,822","-21,107",-51.6%,"8,065",-56.2%
May 2024,"40,929","-4,205",-9.3%,"18,402",+19.1%
April 2024,"45,134","+38,507",+581.1%,"15,457",+317.4%
March 2024,"6,627",+199,+3.1%,"3,703",+2.1%
February 2024,"6,428",-169,-2.6%,"3,628",-7.1%
January 2024,"6,597",-157,-2.3%,"3,905",+2.7%
December 2023,"6,754","+1,208",+21.8%,"3,802",+16.5%
November 2023,"5,546",-5,-0.1%,"3,263",+14.7%
October 2023,"5,551",-310,-5.3%,"2,845",-13.1%
September 2023,"5,861","-1,373",-19.0%,"3,273",-22.7%
August 2023,"7,234",-802,-10.0%,"4,235",-13.6%
July 2023,"8,036",-339,-4.0%,"4,901",-0.6%
June 2023,"8,375","+1,349",+19.2%,"4,931",+30.4%
May 2023,"7,026",+582,+9.0%,"3,781",-1.8%
April 2023,"6,444",+119,+1.9%,"3,850",+9.8%
March 2023,"6,325",-3,-0.0%,"3,505",+1.3%
February 2023,"6,328",-586,-8.5%,"3,460",-16.3%
January 2023,"6,914",+82,+1.2%,"4,132",+8.1%
December 2022,"6,832",-194,-2.8%,"3,823",-1.5%
November 2022,"7,026",-425,-5.7%,"3,883",-6.0%
October 2022,"7,451",+485,+7.0%,"4,133",-
September 2022,"6,966","-1,983",-22.2%,-,-
August 2022,"8,949","+1,342",+17.6%,-,-
July 2022,"7,607",+732,+10.6%,-,-
June 2022,"6,875","+1,153",+20.2%,-,-
May 2022,"5,722",-108,-1.9%,-,-
April 2022,"5,830",-668,-10.3%,-,-
March 2022,"6,498",-601,-8.5%,-,-
February 2022,"7,099",-203,-2.8%,-,-
January 2022,"7,302",+229,+3.2%,-,-
December 2021,"7,073",+558,+8.6%,-,-
November 2021,"6,515","-1,169",-15.2%,-,-
October 2021,"7,684",-364,-4.5%,-,-
September 2021,"8,048","-2,157",-21.1%,-,-
August 2021,"10,205","+1,677",+19.7%,-,-
July 2021,"8,528",+802,+10.4%,-,-
June 2021,"7,726",-178,-2.3%,-,-
May 2021,"7,904","+1,378",+21.1%,-,-
April 2021,"6,526",-595,-8.4%,-,-
March 2021,"7,121","-3,415",-32.4%,-,-
February 2021,"10,536","-3,099",-22.7%,-,-
January 2021,"13,635","+4,461",+48.6%,-,-
December 2020,"9,174","+1,943",+26.9%,-,-
November 2020,"7,231","-1,836",-20.2%,-,-
October 2020,"9,067","+3,878",+74.7%,-,-
September 2020,"5,189","-1,154",-18.2%,-,-
August 2020,"6,343",+282,+4.7%,-,-
July 2020,"6,061",+179,+3.0%,-,-
June 2020,"5,882",+13,+0.2%,-,-
May 2020,"5,869",-479,-7.5%,-,-
April 2020,"6,348",+195,+3.2%,-,-
March 2020,"6,153","+1,298",+26.7%,-,-
February 2020,"4,855",+52,+1.1%,-,-
January 2020,"4,803",-43,-0.9%,-,-
December 2019,"4,846","-1,951",-28.7%,-,-
November 2019,"6,797",+169,+2.5%,-,-
October 2019,"6,628","+1,835",+38.3%,-,-
September 2019,"4,793","-1,089",-18.5%,-,-
August 2019,"5,882",-514,-8.0%,-,-
