Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,62,+8,+14.8%,22,+10.0%
April 2025,54,+2,+3.8%,20,+0.0%
March 2025,52,-6,-10.3%,20,-9.1%
February 2025,58,-38,-39.6%,22,-26.7%
January 2025,96,-25,-20.7%,30,-6.3%
December 2024,121,+69,+132.7%,32,+60.0%
November 2024,52,-7,-11.9%,20,-9.1%
October 2024,59,-23,-28.0%,22,-18.5%
September 2024,82,+2,+2.5%,27,-20.6%
August 2024,80,-21,-20.8%,34,-19.0%
July 2024,101,-1,-1.0%,42,+31.3%
June 2024,102,+44,+75.9%,32,+45.5%
May 2024,58,-5,-7.9%,22,+0.0%
April 2024,63,-4,-6.0%,22,-15.4%
March 2024,67,-24,-26.4%,26,-13.3%
February 2024,91,-106,-53.8%,30,-51.6%
January 2024,197,-139,-41.4%,62,-42.1%
December 2023,336,+70,+26.3%,107,-0.9%
November 2023,266,-8,-2.9%,108,+103.8%
October 2023,274,+164,+149.1%,53,+39.5%
September 2023,110,-15,-12.0%,38,-30.9%
August 2023,125,-96,-43.4%,55,-37.5%
July 2023,221,+12,+5.7%,88,+23.9%
June 2023,209,+28,+15.5%,71,+65.1%
May 2023,181,+108,+147.9%,43,+43.3%
April 2023,73,-4,-5.2%,30,+7.1%
March 2023,77,-5,-6.1%,28,-15.2%
February 2023,82,-38,-31.7%,33,-26.7%
January 2023,120,-43,-26.4%,45,+7.1%
December 2022,163,+68,+71.6%,42,+27.3%
November 2022,95,-34,-26.4%,33,+6.5%
October 2022,129,+55,+74.3%,31,-
September 2022,74,-4,-5.1%,-,-
August 2022,78,-7,-8.2%,-,-
July 2022,85,+11,+14.9%,-,-
June 2022,74,+6,+8.8%,-,-
May 2022,68,-41,-37.6%,-,-
April 2022,109,-52,-32.3%,-,-
March 2022,161,-238,-59.6%,-,-
February 2022,399,-238,-37.4%,-,-
January 2022,637,+122,+23.7%,-,-
December 2021,515,+416,+420.2%,-,-
November 2021,99,-90,-47.6%,-,-
October 2021,189,+110,+139.2%,-,-
September 2021,79,-9,-10.2%,-,-
August 2021,88,+8,+10.0%,-,-
July 2021,80,-10,-11.1%,-,-
June 2021,90,-7,-7.2%,-,-
May 2021,97,-6,-5.8%,-,-
April 2021,103,-5,-4.6%,-,-
March 2021,108,-5,-4.4%,-,-
February 2021,113,-73,-39.2%,-,-
January 2021,186,-74,-28.5%,-,-
December 2020,260,+121,+87.1%,-,-
November 2020,139,-125,-47.3%,-,-
October 2020,264,+165,+166.7%,-,-
September 2020,99,-12,-10.8%,-,-
August 2020,111,-34,-23.4%,-,-
July 2020,145,-8,-5.2%,-,-
June 2020,153,+16,+11.7%,-,-
May 2020,137,+29,+26.9%,-,-
April 2020,108,+5,+4.9%,-,-
March 2020,103,-24,-18.9%,-,-
February 2020,127,-27,-17.5%,-,-
January 2020,154,-118,-43.4%,-,-
December 2019,272,+128,+88.9%,-,-
November 2019,144,-46,-24.2%,-,-
October 2019,190,+123,+183.6%,-,-
September 2019,67,+10,+17.5%,-,-
August 2019,57,-19,-25.0%,-,-
July 2019,76,-353,-82.3%,-,-
June 2019,429,-356,-45.4%,-,-
May 2019,785,-,-,-,-
