Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,83,+4,+5.1%,36,+0.0%
April 2025,79,+10,+14.5%,36,+20.0%
March 2025,69,-14,-16.9%,30,-11.8%
February 2025,83,+6,+7.8%,34,-2.9%
January 2025,77,+3,+4.1%,35,+12.9%
December 2024,74,-2,-2.6%,31,+6.9%
November 2024,76,+6,+8.6%,29,+3.6%
October 2024,70,-2,-2.8%,28,-6.7%
September 2024,72,-28,-28.0%,30,-37.5%
August 2024,100,+6,+6.4%,48,+11.6%
July 2024,94,+24,+34.3%,43,+19.4%
June 2024,70,+7,+11.1%,36,+24.1%
May 2024,63,-6,-8.7%,29,+7.4%
April 2024,69,-4,-5.5%,27,-10.0%
March 2024,73,-20,-21.5%,30,-18.9%
February 2024,93,-37,-28.5%,37,-33.9%
January 2024,130,-227,-63.6%,56,-48.6%
December 2023,357,-312,-46.6%,109,-62.0%
November 2023,669,+220,+49.0%,287,+258.8%
October 2023,449,+340,+311.9%,80,+77.8%
September 2023,109,-30,-21.6%,45,-32.8%
August 2023,139,-38,-21.5%,67,-25.6%
July 2023,177,-79,-30.9%,90,-25.0%
June 2023,256,+45,+21.3%,120,+110.5%
May 2023,211,+121,+134.4%,57,+62.9%
April 2023,90,+13,+16.9%,35,+16.7%
March 2023,77,-11,-12.5%,30,-14.3%
February 2023,88,+4,+4.8%,35,-5.4%
January 2023,84,-10,-10.6%,37,+23.3%
December 2022,94,+29,+44.6%,30,+25.0%
November 2022,65,0,+0.0%,24,+0.0%
October 2022,65,+7,+12.1%,24,-
September 2022,58,+5,+9.4%,-,-
August 2022,53,0,+0.0%,-,-
July 2022,53,-3,-5.4%,-,-
June 2022,56,-10,-15.2%,-,-
May 2022,66,-54,-45.0%,-,-
April 2022,120,-80,-40.0%,-,-
March 2022,200,-267,-57.2%,-,-
February 2022,467,-106,-18.5%,-,-
January 2022,573,+305,+113.8%,-,-
December 2021,268,+206,+332.3%,-,-
November 2021,62,-19,-23.5%,-,-
October 2021,81,+32,+65.3%,-,-
September 2021,49,-7,-12.5%,-,-
August 2021,56,0,+0.0%,-,-
July 2021,56,0,+0.0%,-,-
June 2021,56,-14,-20.0%,-,-
May 2021,70,+2,+2.9%,-,-
April 2021,68,-6,-8.1%,-,-
March 2021,74,-4,-5.1%,-,-
February 2021,78,+7,+9.9%,-,-
January 2021,71,+6,+9.2%,-,-
December 2020,65,-4,-5.8%,-,-
November 2020,69,-29,-29.6%,-,-
October 2020,98,+43,+78.2%,-,-
September 2020,55,-15,-21.4%,-,-
August 2020,70,-40,-36.4%,-,-
July 2020,110,+2,+1.9%,-,-
June 2020,108,+39,+56.5%,-,-
May 2020,69,-7,-9.2%,-,-
April 2020,76,+14,+22.6%,-,-
March 2020,62,-1,-1.6%,-,-
February 2020,63,-10,-13.7%,-,-
January 2020,73,-29,-28.4%,-,-
December 2019,102,+47,+85.5%,-,-
November 2019,55,+16,+41.0%,-,-
October 2019,39,-1,-2.5%,-,-
September 2019,40,+4,+11.1%,-,-
August 2019,36,-10,-21.7%,-,-
July 2019,46,-19,-29.2%,-,-
June 2019,65,+2,+3.2%,-,-
May 2019,63,+16,+34.0%,-,-
April 2019,47,+6,+14.6%,-,-
March 2019,41,-1,-2.4%,-,-
February 2019,42,+6,+16.7%,-,-
January 2019,36,-2,-5.3%,-,-
December 2018,38,+9,+31.0%,-,-
November 2018,29,-5,-14.7%,-,-
October 2018,34,-2,-5.6%,-,-
September 2018,36,-18,-33.3%,-,-
August 2018,54,-35,-39.3%,-,-
July 2018,89,-4,-4.3%,-,-
June 2018,93,+50,+116.3%,-,-
May 2018,43,-6,-12.2%,-,-
April 2018,49,-8,-14.0%,-,-
March 2018,57,+2,+3.6%,-,-
February 2018,55,-15,-21.4%,-,-
January 2018,70,-11,-13.6%,-,-
December 2017,81,+27,+50.0%,-,-
November 2017,54,-10,-15.6%,-,-
October 2017,64,+17,+36.2%,-,-
September 2017,47,-1,-2.1%,-,-
August 2017,48,-2,-4.0%,-,-
July 2017,50,0,+0.0%,-,-
June 2017,50,-3,-5.7%,-,-
May 2017,53,+9,+20.5%,-,-
April 2017,44,-9,-17.0%,-,-
March 2017,53,-7,-11.7%,-,-
February 2017,60,-17,-22.1%,-,-
January 2017,77,-10,-11.5%,-,-
December 2016,87,+15,+20.8%,-,-
November 2016,72,-6,-7.7%,-,-
October 2016,78,+20,+34.5%,-,-
September 2016,58,-7,-10.8%,-,-
August 2016,65,-25,-27.8%,-,-
July 2016,90,+24,+36.4%,-,-
June 2016,66,-9,-12.0%,-,-
May 2016,75,-5,-6.3%,-,-
April 2016,80,-6,-7.0%,-,-
March 2016,86,-15,-14.9%,-,-
February 2016,101,+4,+4.1%,-,-
January 2016,97,-2,-2.0%,-,-
December 2015,99,-7,-6.6%,-,-
November 2015,106,-40,-27.4%,-,-
October 2015,146,+37,+33.9%,-,-
September 2015,109,-17,-13.5%,-,-
August 2015,126,-21,-14.3%,-,-
July 2015,147,-19,-11.4%,-,-
June 2015,166,-38,-18.6%,-,-
May 2015,204,0,+0.0%,-,-
April 2015,204,-20,-8.9%,-,-
March 2015,224,-288,-56.3%,-,-
February 2015,512,-47,-8.4%,-,-
January 2015,559,+21,+3.9%,-,-
December 2014,538,"-1,170",-68.5%,-,-
November 2014,"1,708",+22,+1.3%,-,-
October 2014,"1,686",-,-,-,-
