Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"4,453",+439,+10.9%,"2,035",+9.0%
April 2025,"4,014",-909,-18.5%,"1,867",-13.3%
March 2025,"4,923","-2,210",-31.0%,"2,154",-7.6%
February 2025,"7,133",-60,-0.8%,"2,332",-13.4%
January 2025,"7,193","+2,667",+58.9%,"2,692",+23.8%
December 2024,"4,526","-1,532",-25.3%,"2,174",-13.5%
November 2024,"6,058","+1,045",+20.8%,"2,513",+11.1%
October 2024,"5,013",+530,+11.8%,"2,261",+3.8%
September 2024,"4,483",-160,-3.4%,"2,179",-5.2%
August 2024,"4,643",-347,-7.0%,"2,298",+3.7%
July 2024,"4,990",-199,-3.8%,"2,215",-0.5%
June 2024,"5,189","-1,040",-16.7%,"2,227",-22.1%
May 2024,"6,229","-1,443",-18.8%,"2,857",-13.3%
April 2024,"7,672","-1,067",-12.2%,"3,297",-21.4%
March 2024,"8,739","-3,216",-26.9%,"4,192",-19.2%
February 2024,"11,955","-1,990",-14.3%,"5,185",+21.6%
January 2024,"13,945",+735,+5.6%,"4,263",-8.1%
December 2023,"13,210",+482,+3.8%,"4,638",-14.3%
November 2023,"12,728","-5,279",-29.3%,"5,410",-3.2%
October 2023,"18,007","+11,255",+166.7%,"5,588",+82.4%
September 2023,"6,752",-339,-4.8%,"3,063",-12.5%
August 2023,"7,091",+224,+3.3%,"3,499",+4.1%
July 2023,"6,867","-1,478",-17.7%,"3,362",+10.2%
June 2023,"8,345","+2,841",+51.6%,"3,050",+13.8%
May 2023,"5,504",-777,-12.4%,"2,681",-15.8%
April 2023,"6,281","-6,424",-50.6%,"3,185",-24.7%
March 2023,"12,705","+5,848",+85.3%,"4,229",+30.6%
February 2023,"6,857",-795,-10.4%,"3,237",-14.5%
January 2023,"7,652",-205,-2.6%,"3,784",-5.1%
December 2022,"7,857","-5,074",-39.2%,"3,989",-2.7%
November 2022,"12,931","+7,174",+124.6%,"4,099",+54.2%
October 2022,"5,757","-2,211",-27.7%,"2,659",-
September 2022,"7,968","+1,089",+15.8%,-,-
August 2022,"6,879",-801,-10.4%,-,-
July 2022,"7,680","-1,039",-11.9%,-,-
June 2022,"8,719","-12,684",-59.3%,-,-
May 2022,"21,403","+11,001",+105.8%,-,-
April 2022,"10,402","-5,559",-34.8%,-,-
March 2022,"15,961","-15,928",-49.9%,-,-
February 2022,"31,889","-30,675",-49.0%,-,-
January 2022,"62,564","-85,218",-57.7%,-,-
December 2021,"147,782","-124,804",-45.8%,-,-
November 2021,"272,586",-,-,-,-
