Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,17,0,+0.0%,4,+0.0%
April 2025,17,-3,-15.0%,4,-20.0%
March 2025,20,-2,-9.1%,5,-16.7%
February 2025,22,+3,+15.8%,6,+0.0%
January 2025,19,-4,-17.4%,6,-25.0%
December 2024,23,+1,+4.5%,8,+14.3%
November 2024,22,-41,-65.1%,7,-36.4%
October 2024,63,+49,+350.0%,11,+175.0%
September 2024,14,-3,-17.6%,4,+0.0%
August 2024,17,-1,-5.6%,4,-20.0%
July 2024,18,+4,+28.6%,5,+25.0%
June 2024,14,-2,-12.5%,4,-20.0%
May 2024,16,0,+0.0%,5,+0.0%
April 2024,16,-2,-11.1%,5,+0.0%
March 2024,18,-4,-18.2%,5,-16.7%
February 2024,22,+4,+22.2%,6,+20.0%
January 2024,18,-3,-14.3%,5,-16.7%
December 2023,21,+2,+10.5%,6,+20.0%
November 2023,19,+1,+5.6%,5,+0.0%
October 2023,18,-6,-25.0%,5,+0.0%
September 2023,24,-1,-4.0%,5,-16.7%
August 2023,25,+3,+13.6%,6,-14.3%
July 2023,22,-12,-35.3%,7,-12.5%
June 2023,34,+12,+54.5%,8,+14.3%
May 2023,22,-1,-4.3%,7,+16.7%
April 2023,23,0,+0.0%,6,+0.0%
March 2023,23,-4,-14.8%,6,+0.0%
February 2023,27,+1,+3.8%,6,-33.3%
January 2023,26,-24,-48.0%,9,-18.2%
December 2022,50,+29,+138.1%,11,+120.0%
November 2022,21,+3,+16.7%,5,+25.0%
October 2022,18,-2,-10.0%,4,-
September 2022,20,+3,+17.6%,-,-
August 2022,17,-5,-22.7%,-,-
July 2022,22,+1,+4.8%,-,-
June 2022,21,-6,-22.2%,-,-
May 2022,27,+3,+12.5%,-,-
April 2022,24,-10,-29.4%,-,-
March 2022,34,+1,+3.0%,-,-
February 2022,33,+2,+6.5%,-,-
January 2022,31,0,+0.0%,-,-
December 2021,31,-23,-42.6%,-,-
November 2021,54,-13,-19.4%,-,-
October 2021,67,+50,+294.1%,-,-
September 2021,17,-12,-41.4%,-,-
August 2021,29,-2,-6.5%,-,-
July 2021,31,+5,+19.2%,-,-
June 2021,26,-5,-16.1%,-,-
May 2021,31,+1,+3.3%,-,-
April 2021,30,-7,-18.9%,-,-
March 2021,37,+6,+19.4%,-,-
February 2021,31,-8,-20.5%,-,-
January 2021,39,-3,-7.1%,-,-
December 2020,42,+12,+40.0%,-,-
November 2020,30,+3,+11.1%,-,-
October 2020,27,+8,+42.1%,-,-
September 2020,19,-11,-36.7%,-,-
August 2020,30,-5,-14.3%,-,-
July 2020,35,-4,-10.3%,-,-
June 2020,39,-80,-67.2%,-,-
May 2020,119,+77,+183.3%,-,-
April 2020,42,-13,-23.6%,-,-
March 2020,55,-14,-20.3%,-,-
February 2020,69,+35,+102.9%,-,-
January 2020,34,+2,+6.3%,-,-
December 2019,32,-7,-17.9%,-,-
November 2019,39,+15,+62.5%,-,-
October 2019,24,-25,-51.0%,-,-
September 2019,49,+27,+122.7%,-,-
August 2019,22,-10,-31.3%,-,-
July 2019,32,-10,-23.8%,-,-
June 2019,42,+23,+121.1%,-,-
May 2019,19,-4,-17.4%,-,-
April 2019,23,-15,-39.5%,-,-
March 2019,38,-5,-11.6%,-,-
February 2019,43,+4,+10.3%,-,-
January 2019,39,+11,+39.3%,-,-
December 2018,28,-10,-26.3%,-,-
November 2018,38,-1,-2.6%,-,-
October 2018,39,+11,+39.3%,-,-
September 2018,28,-15,-34.9%,-,-
August 2018,43,+4,+10.3%,-,-
July 2018,39,-11,-22.0%,-,-
June 2018,50,-10,-16.7%,-,-
May 2018,60,-337,-84.9%,-,-
April 2018,397,+297,+297.0%,-,-
March 2018,100,+59,+143.9%,-,-
February 2018,41,+3,+7.9%,-,-
January 2018,38,-8,-17.4%,-,-
December 2017,46,+4,+9.5%,-,-
November 2017,42,+17,+68.0%,-,-
October 2017,25,-27,-51.9%,-,-
September 2017,52,+37,+246.7%,-,-
August 2017,15,-37,-71.2%,-,-
July 2017,52,-13,-20.0%,-,-
June 2017,65,+53,+441.7%,-,-
May 2017,12,-8,-40.0%,-,-
April 2017,20,-144,-87.8%,-,-
March 2017,164,+11,+7.2%,-,-
February 2017,153,+131,+595.5%,-,-
January 2017,22,-125,-85.0%,-,-
December 2016,147,-3,-2.0%,-,-
November 2016,150,-,-,-,-
