Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,16,-2,-11.1%,4,-42.9%
April 2025,18,-1,-5.3%,7,+0.0%
March 2025,19,-3,-13.6%,7,+16.7%
February 2025,22,0,+0.0%,6,+0.0%
January 2025,22,+3,+15.8%,6,+0.0%
December 2024,19,-5,-20.8%,6,+0.0%
November 2024,24,+4,+20.0%,6,+20.0%
October 2024,20,+1,+5.3%,5,+0.0%
September 2024,19,-3,-13.6%,5,-16.7%
August 2024,22,0,+0.0%,6,-14.3%
July 2024,22,0,+0.0%,7,-12.5%
June 2024,22,+1,+4.8%,8,+14.3%
May 2024,21,-6,-22.2%,7,-12.5%
April 2024,27,-9,-25.0%,8,-27.3%
March 2024,36,-16,-30.8%,11,-35.3%
February 2024,52,-3,-5.5%,17,-5.6%
January 2024,55,+11,+25.0%,18,+12.5%
December 2023,44,-2,-4.3%,16,-11.1%
November 2023,46,-14,-23.3%,18,-14.3%
October 2023,60,+4,+7.1%,21,-4.5%
September 2023,56,+1,+1.8%,22,+4.8%
August 2023,55,+2,+3.8%,21,-4.5%
July 2023,53,+10,+23.3%,22,+37.5%
June 2023,43,-8,-15.7%,16,-11.1%
May 2023,51,-8,-13.6%,18,-14.3%
April 2023,59,+7,+13.5%,21,+5.0%
March 2023,52,-10,-16.1%,20,-9.1%
February 2023,62,-2,-3.1%,22,-8.3%
January 2023,64,+3,+4.9%,24,+14.3%
December 2022,61,+8,+15.1%,21,+5.0%
November 2022,53,0,+0.0%,20,+11.1%
October 2022,53,+8,+17.8%,18,-
September 2022,45,-6,-11.8%,-,-
August 2022,51,+7,+15.9%,-,-
July 2022,44,-1,-2.2%,-,-
June 2022,45,-11,-19.6%,-,-
May 2022,56,-5,-8.2%,-,-
April 2022,61,0,+0.0%,-,-
March 2022,61,-16,-20.8%,-,-
February 2022,77,+2,+2.7%,-,-
January 2022,75,+3,+4.2%,-,-
December 2021,72,+1,+1.4%,-,-
November 2021,71,+5,+7.6%,-,-
October 2021,66,+20,+43.5%,-,-
September 2021,46,-12,-20.7%,-,-
August 2021,58,+7,+13.7%,-,-
July 2021,51,-3,-5.6%,-,-
June 2021,54,-20,-27.0%,-,-
May 2021,74,0,+0.0%,-,-
April 2021,74,-5,-6.3%,-,-
March 2021,79,+4,+5.3%,-,-
February 2021,75,-7,-8.5%,-,-
January 2021,82,+14,+20.6%,-,-
December 2020,68,-6,-8.1%,-,-
November 2020,74,+19,+34.5%,-,-
October 2020,55,-1,-1.8%,-,-
September 2020,56,-5,-8.2%,-,-
August 2020,61,0,+0.0%,-,-
July 2020,61,-6,-9.0%,-,-
June 2020,67,-19,-22.1%,-,-
May 2020,86,-13,-13.1%,-,-
