Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,17,-1,-5.6%,4,-20.0%
April 2025,18,-4,-18.2%,5,+0.0%
March 2025,22,-1,-4.3%,5,+0.0%
February 2025,23,+1,+4.5%,5,-16.7%
January 2025,22,+4,+22.2%,6,+20.0%
December 2024,18,-6,-25.0%,5,-16.7%
November 2024,24,+4,+20.0%,6,+0.0%
October 2024,20,+1,+5.3%,6,+20.0%
September 2024,19,0,+0.0%,5,-16.7%
August 2024,19,+1,+5.6%,6,+0.0%
July 2024,18,-3,-14.3%,6,+0.0%
June 2024,21,0,+0.0%,6,+0.0%
May 2024,21,0,+0.0%,6,-14.3%
April 2024,21,-13,-38.2%,7,-30.0%
March 2024,34,-11,-24.4%,10,-37.5%
February 2024,45,-1,-2.2%,16,+6.7%
January 2024,46,+6,+15.0%,15,+7.1%
December 2023,40,+3,+8.1%,14,+0.0%
November 2023,37,-7,-15.9%,14,-12.5%
October 2023,44,-9,-17.0%,16,-15.8%
September 2023,53,-11,-17.2%,19,-20.8%
August 2023,64,-8,-11.1%,24,-4.0%
July 2023,72,-19,-20.9%,25,+4.2%
June 2023,91,+34,+59.6%,24,+26.3%
May 2023,57,-11,-16.2%,19,-9.5%
April 2023,68,+11,+19.3%,21,+0.0%
March 2023,57,-4,-6.6%,21,+0.0%
February 2023,61,-12,-16.4%,21,-8.7%
January 2023,73,+4,+5.8%,23,-4.2%
December 2022,69,+14,+25.5%,24,+33.3%
November 2022,55,+10,+22.2%,18,+12.5%
October 2022,45,-1,-2.2%,16,-
September 2022,46,+6,+15.0%,-,-
August 2022,40,-16,-28.6%,-,-
July 2022,56,+7,+14.3%,-,-
June 2022,49,-15,-23.4%,-,-
May 2022,64,-1,-1.5%,-,-
April 2022,65,-12,-15.6%,-,-
March 2022,77,-9,-10.5%,-,-
February 2022,86,-9,-9.5%,-,-
January 2022,95,+9,+10.5%,-,-
December 2021,86,-85,-49.7%,-,-
November 2021,171,-40,-19.0%,-,-
October 2021,211,+164,+348.9%,-,-
September 2021,47,-16,-25.4%,-,-
August 2021,63,-10,-13.7%,-,-
July 2021,73,+10,+15.9%,-,-
June 2021,63,-21,-25.0%,-,-
May 2021,84,-1,-1.2%,-,-
April 2021,85,-41,-32.5%,-,-
March 2021,126,+14,+12.5%,-,-
February 2021,112,+12,+12.0%,-,-
January 2021,100,+11,+12.4%,-,-
December 2020,89,+6,+7.2%,-,-
November 2020,83,+15,+22.1%,-,-
October 2020,68,+20,+41.7%,-,-
September 2020,48,-21,-30.4%,-,-
August 2020,69,-8,-10.4%,-,-
July 2020,77,-5,-6.1%,-,-
June 2020,82,-59,-41.8%,-,-
May 2020,141,+22,+18.5%,-,-
April 2020,119,-39,-24.7%,-,-
March 2020,158,+65,+69.9%,-,-
February 2020,93,+35,+60.3%,-,-
January 2020,58,0,+0.0%,-,-
December 2019,58,+7,+13.7%,-,-
November 2019,51,+4,+8.5%,-,-
October 2019,47,-30,-39.0%,-,-
September 2019,77,+34,+79.1%,-,-
August 2019,43,-8,-15.7%,-,-
July 2019,51,0,+0.0%,-,-
June 2019,51,+22,+75.9%,-,-
May 2019,29,-7,-19.4%,-,-
April 2019,36,-32,-47.1%,-,-
March 2019,68,-8,-10.5%,-,-
February 2019,76,+11,+16.9%,-,-
January 2019,65,-8,-11.0%,-,-
December 2018,73,+18,+32.7%,-,-
November 2018,55,-20,-26.7%,-,-
October 2018,75,+26,+53.1%,-,-
September 2018,49,-22,-31.0%,-,-
August 2018,71,+12,+20.3%,-,-
July 2018,59,-44,-42.7%,-,-
June 2018,103,+64,+164.1%,-,-
May 2018,39,-39,-50.0%,-,-
April 2018,78,-36,-31.6%,-,-
March 2018,114,+60,+111.1%,-,-
February 2018,54,-14,-20.6%,-,-
January 2018,68,-14,-17.1%,-,-
December 2017,82,+8,+10.8%,-,-
November 2017,74,+29,+64.4%,-,-
October 2017,45,-14,-23.7%,-,-
September 2017,59,+20,+51.3%,-,-
August 2017,39,-29,-42.6%,-,-
July 2017,68,+6,+9.7%,-,-
June 2017,62,+32,+106.7%,-,-
May 2017,30,+2,+7.1%,-,-
April 2017,28,-12,-30.0%,-,-
March 2017,40,-22,-35.5%,-,-
February 2017,62,+4,+6.9%,-,-
January 2017,58,-117,-66.9%,-,-
December 2016,175,+86,+96.6%,-,-
November 2016,89,+57,+178.1%,-,-
October 2016,32,-5,-13.5%,-,-
September 2016,37,-1,-2.6%,-,-
August 2016,38,-21,-35.6%,-,-
July 2016,59,+8,+15.7%,-,-
June 2016,51,+14,+37.8%,-,-
May 2016,37,-11,-22.9%,-,-
April 2016,48,-55,-53.4%,-,-
March 2016,103,+3,+3.0%,-,-
February 2016,100,-22,-18.0%,-,-
January 2016,122,-10,-7.6%,-,-
December 2015,132,+47,+55.3%,-,-
November 2015,85,-99,-53.8%,-,-
October 2015,184,-7,-3.7%,-,-
September 2015,191,+23,+13.7%,-,-
August 2015,168,+127,+309.8%,-,-
July 2015,41,-47,-53.4%,-,-
June 2015,88,+58,+193.3%,-,-
May 2015,30,+2,+7.1%,-,-
April 2015,28,-2,-6.7%,-,-
March 2015,30,-35,-53.8%,-,-
February 2015,65,-134,-67.3%,-,-
January 2015,199,+124,+165.3%,-,-
December 2014,75,-20,-21.1%,-,-
November 2014,95,+45,+90.0%,-,-
October 2014,50,-103,-67.3%,-,-
September 2014,153,+123,+410.0%,-,-
August 2014,30,-3,-9.1%,-,-
July 2014,33,-30,-47.6%,-,-
June 2014,63,+14,+28.6%,-,-
May 2014,49,+27,+122.7%,-,-
April 2014,22,-20,-47.6%,-,-
March 2014,42,-30,-41.7%,-,-
February 2014,72,+26,+56.5%,-,-
January 2014,46,-44,-48.9%,-,-
December 2013,90,-21,-18.9%,-,-
November 2013,111,+82,+282.8%,-,-
October 2013,29,-6,-17.1%,-,-
September 2013,35,-114,-76.5%,-,-
August 2013,149,+103,+223.9%,-,-
July 2013,46,-121,-72.5%,-,-
June 2013,167,+146,+695.2%,-,-
May 2013,21,-46,-68.7%,-,-
April 2013,67,+37,+123.3%,-,-
March 2013,30,-10,-25.0%,-,-
February 2013,40,-33,-45.2%,-,-
January 2013,73,-110,-60.1%,-,-
December 2012,183,+63,+52.5%,-,-
November 2012,120,+106,+757.1%,-,-
October 2012,14,-,-,-,-
