Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,66,-2,-2.9%,22,+4.8%
April 2025,68,-2,-2.9%,21,-19.2%
March 2025,70,+1,+1.4%,26,+0.0%
February 2025,69,-4,-5.5%,26,-3.7%
January 2025,73,0,+0.0%,27,-12.9%
December 2024,73,+6,+9.0%,31,+19.2%
November 2024,67,-70,-51.1%,26,-35.0%
October 2024,137,+76,+124.6%,40,+81.8%
September 2024,61,-6,-9.0%,22,-4.3%
August 2024,67,-10,-13.0%,23,-25.8%
July 2024,77,+17,+28.3%,31,+34.8%
June 2024,60,-17,-22.1%,23,-8.0%
May 2024,77,-3,-3.8%,25,-16.7%
April 2024,80,-13,-14.0%,30,-16.7%
March 2024,93,-14,-13.1%,36,-7.7%
February 2024,107,+31,+40.8%,39,+34.5%
January 2024,76,-15,-16.5%,29,-3.3%
December 2023,91,+24,+35.8%,30,+15.4%
November 2023,67,+6,+9.8%,26,+13.0%
October 2023,61,-19,-23.8%,23,-11.5%
September 2023,80,+13,+19.4%,26,-3.7%
August 2023,67,-8,-10.7%,27,-6.9%
July 2023,75,-21,-21.9%,29,-3.3%
June 2023,96,+28,+41.2%,30,+36.4%
May 2023,68,-5,-6.8%,22,-8.3%
April 2023,73,+4,+5.8%,24,-4.0%
March 2023,69,-2,-2.8%,25,-3.8%
February 2023,71,+1,+1.4%,26,-3.7%
January 2023,70,-5,-6.7%,27,+0.0%
December 2022,75,+16,+27.1%,27,+35.0%
November 2022,59,+2,+3.5%,20,+11.1%
October 2022,57,+5,+9.6%,18,-
September 2022,52,-1,-1.9%,-,-
August 2022,53,-8,-13.1%,-,-
July 2022,61,+5,+8.9%,-,-
June 2022,56,-15,-21.1%,-,-
May 2022,71,-1,-1.4%,-,-
April 2022,72,-7,-8.9%,-,-
March 2022,79,+2,+2.6%,-,-
February 2022,77,-23,-23.0%,-,-
January 2022,100,+10,+11.1%,-,-
December 2021,90,-46,-33.8%,-,-
November 2021,136,-39,-22.3%,-,-
October 2021,175,+116,+196.6%,-,-
September 2021,59,-26,-30.6%,-,-
August 2021,85,+6,+7.6%,-,-
July 2021,79,-3,-3.7%,-,-
June 2021,82,0,+0.0%,-,-
May 2021,82,-1,-1.2%,-,-
April 2021,83,-38,-31.4%,-,-
March 2021,121,+21,+21.0%,-,-
February 2021,100,-6,-5.7%,-,-
January 2021,106,+5,+5.0%,-,-
December 2020,101,-21,-17.2%,-,-
November 2020,122,+48,+64.9%,-,-
October 2020,74,+15,+25.4%,-,-
September 2020,59,-24,-28.9%,-,-
August 2020,83,-7,-7.8%,-,-
July 2020,90,+6,+7.1%,-,-
June 2020,84,-44,-34.4%,-,-
May 2020,128,-13,-9.2%,-,-
April 2020,141,-65,-31.6%,-,-
March 2020,206,+109,+112.4%,-,-
February 2020,97,+27,+38.6%,-,-
January 2020,70,+1,+1.4%,-,-
December 2019,69,-14,-16.9%,-,-
November 2019,83,+28,+50.9%,-,-
October 2019,55,-72,-56.7%,-,-
September 2019,127,+61,+92.4%,-,-
August 2019,66,-4,-5.7%,-,-
July 2019,70,+2,+2.9%,-,-
June 2019,68,+23,+51.1%,-,-
May 2019,45,-7,-13.5%,-,-
April 2019,52,-28,-35.0%,-,-
