Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,9,-5,-35.7%,2,-33.3%
May 2025,14,0,+0.0%,3,+0.0%
April 2025,14,-3,-17.6%,3,-40.0%
March 2025,17,+8,+88.9%,5,+150.0%
February 2025,9,-2,-18.2%,2,-33.3%
January 2025,11,0,+0.0%,3,+0.0%
December 2024,11,+2,+22.2%,3,+50.0%
November 2024,9,0,+0.0%,2,+0.0%
October 2024,9,-2,-18.2%,2,+0.0%
September 2024,11,-2,-15.4%,2,+0.0%
August 2024,13,+4,+44.4%,2,+0.0%
July 2024,9,-1,-10.0%,2,+0.0%
June 2024,10,+1,+11.1%,2,+0.0%
May 2024,9,0,+0.0%,2,+100.0%
April 2024,9,-1,-10.0%,1,-50.0%
March 2024,10,-2,-16.7%,2,-33.3%
February 2024,12,+2,+20.0%,3,+50.0%
January 2024,10,-3,-23.1%,2,-33.3%
December 2023,13,+2,+18.2%,3,+50.0%
November 2023,11,+3,+37.5%,2,+0.0%
October 2023,8,-2,-20.0%,2,+0.0%
September 2023,10,-1,-9.1%,2,+0.0%
August 2023,11,-2,-15.4%,2,-33.3%
July 2023,13,0,+0.0%,3,+0.0%
June 2023,13,+6,+85.7%,3,+200.0%
May 2023,7,-2,-22.2%,1,-50.0%
April 2023,9,-4,-30.8%,2,-33.3%
March 2023,13,+6,+85.7%,3,+50.0%
February 2023,7,-2,-22.2%,2,+0.0%
January 2023,9,-2,-18.2%,2,+0.0%
December 2022,11,+2,+22.2%,2,+0.0%
November 2022,9,-2,-18.2%,2,-33.3%
October 2022,11,-1,-8.3%,3,-
September 2022,12,+3,+33.3%,-,-
August 2022,9,-1,-10.0%,-,-
July 2022,10,-3,-23.1%,-,-
June 2022,13,+6,+85.7%,-,-
May 2022,7,-1,-12.5%,-,-
April 2022,8,-5,-38.5%,-,-
March 2022,13,+3,+30.0%,-,-
February 2022,10,-2,-16.7%,-,-
January 2022,12,-7,-36.8%,-,-
December 2021,19,+7,+58.3%,-,-
November 2021,12,-3,-20.0%,-,-
October 2021,15,+5,+50.0%,-,-
September 2021,10,-7,-41.2%,-,-
August 2021,17,+5,+41.7%,-,-
July 2021,12,-2,-14.3%,-,-
June 2021,14,+5,+55.6%,-,-
May 2021,9,-1,-10.0%,-,-
April 2021,10,-3,-23.1%,-,-
March 2021,13,-2,-13.3%,-,-
February 2021,15,-2,-11.8%,-,-
January 2021,17,+1,+6.3%,-,-
December 2020,16,-1,-5.9%,-,-
November 2020,17,-11,-39.3%,-,-
October 2020,28,+20,+250.0%,-,-
September 2020,8,-6,-42.9%,-,-
August 2020,14,-2,-12.5%,-,-
July 2020,16,+3,+23.1%,-,-
June 2020,13,-9,-40.9%,-,-
May 2020,22,+8,+57.1%,-,-
April 2020,14,-10,-41.7%,-,-
March 2020,24,+13,+118.2%,-,-
February 2020,11,-14,-56.0%,-,-
January 2020,25,+14,+127.3%,-,-
December 2019,11,-1,-8.3%,-,-
November 2019,12,+1,+9.1%,-,-
October 2019,11,0,+0.0%,-,-
September 2019,11,-22,-66.7%,-,-
August 2019,33,+17,+106.3%,-,-
July 2019,16,+4,+33.3%,-,-
June 2019,12,0,+0.0%,-,-
May 2019,12,+1,+9.1%,-,-
April 2019,11,-10,-47.6%,-,-
March 2019,21,+3,+16.7%,-,-
February 2019,18,+3,+20.0%,-,-
January 2019,15,-10,-40.0%,-,-
December 2018,25,+4,+19.0%,-,-
November 2018,21,+9,+75.0%,-,-
October 2018,12,-20,-62.5%,-,-
September 2018,32,+20,+166.7%,-,-
August 2018,12,-4,-25.0%,-,-
July 2018,16,-7,-30.4%,-,-
June 2018,23,-13,-36.1%,-,-
May 2018,36,+24,+200.0%,-,-
April 2018,12,-24,-66.7%,-,-
March 2018,36,+22,+157.1%,-,-
February 2018,14,-8,-36.4%,-,-
January 2018,22,+7,+46.7%,-,-
December 2017,15,+3,+25.0%,-,-
November 2017,12,-3,-20.0%,-,-
October 2017,15,-6,-28.6%,-,-
September 2017,21,+11,+110.0%,-,-
August 2017,10,-5,-33.3%,-,-
July 2017,15,0,+0.0%,-,-
June 2017,15,+6,+66.7%,-,-
May 2017,9,-1,-10.0%,-,-
April 2017,10,-3,-23.1%,-,-
March 2017,13,+1,+8.3%,-,-
February 2017,12,-4,-25.0%,-,-
January 2017,16,-5,-23.8%,-,-
December 2016,21,+10,+90.9%,-,-
November 2016,11,+4,+57.1%,-,-
October 2016,7,-5,-41.7%,-,-
September 2016,12,+2,+20.0%,-,-
August 2016,10,-6,-37.5%,-,-
July 2016,16,-4,-20.0%,-,-
June 2016,20,+12,+150.0%,-,-
May 2016,8,-5,-38.5%,-,-
April 2016,13,-3,-18.8%,-,-
March 2016,16,-22,-57.9%,-,-
February 2016,38,-16,-29.6%,-,-
January 2016,54,-,-,-,-
