Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,57,0,+0.0%,15,+25.0%
May 2025,57,-15,-20.8%,12,-25.0%
April 2025,72,+3,+4.3%,16,-30.4%
March 2025,69,+28,+68.3%,23,+228.6%
February 2025,41,+4,+10.8%,7,-30.0%
January 2025,37,-6,-14.0%,10,-28.6%
December 2024,43,+11,+34.4%,14,+133.3%
November 2024,32,-16,-33.3%,6,-40.0%
October 2024,48,+2,+4.3%,10,-9.1%
September 2024,46,+29,+170.6%,11,+120.0%
August 2024,17,-10,-37.0%,5,-37.5%
July 2024,27,+9,+50.0%,8,+60.0%
June 2024,18,-11,-37.9%,5,-37.5%
May 2024,29,+1,+3.6%,8,+14.3%
April 2024,28,+8,+40.0%,7,+0.0%
March 2024,20,-7,-25.9%,7,+0.0%
February 2024,27,+8,+42.1%,7,+16.7%
January 2024,19,-9,-32.1%,6,-14.3%
December 2023,28,+3,+12.0%,7,+16.7%
November 2023,25,+8,+47.1%,6,+20.0%
October 2023,17,-16,-48.5%,5,-37.5%
September 2023,33,+5,+17.9%,8,+14.3%
August 2023,28,-10,-26.3%,7,-36.4%
July 2023,38,+9,+31.0%,11,+37.5%
June 2023,29,+14,+93.3%,8,+166.7%
May 2023,15,-1,-6.3%,3,-25.0%
April 2023,16,-9,-36.0%,4,-42.9%
March 2023,25,+7,+38.9%,7,+16.7%
February 2023,18,-9,-33.3%,6,-33.3%
January 2023,27,-25,-48.1%,9,-40.0%
December 2022,52,+29,+126.1%,15,+114.3%
November 2022,23,+5,+27.8%,7,+40.0%
October 2022,18,-3,-14.3%,5,-
September 2022,21,+2,+10.5%,-,-
August 2022,19,-20,-51.3%,-,-
July 2022,39,-38,-49.4%,-,-
June 2022,77,+65,+541.7%,-,-
May 2022,12,-1,-7.7%,-,-
April 2022,13,-4,-23.5%,-,-
March 2022,17,-1,-5.6%,-,-
February 2022,18,+1,+5.9%,-,-
January 2022,17,-4,-19.0%,-,-
December 2021,21,+6,+40.0%,-,-
November 2021,15,-26,-63.4%,-,-
October 2021,41,+24,+141.2%,-,-
September 2021,17,+1,+6.3%,-,-
August 2021,16,-11,-40.7%,-,-
July 2021,27,-2,-6.9%,-,-
June 2021,29,-1,-3.3%,-,-
May 2021,30,+9,+42.9%,-,-
April 2021,21,-14,-40.0%,-,-
March 2021,35,+4,+12.9%,-,-
February 2021,31,-10,-24.4%,-,-
January 2021,41,+7,+20.6%,-,-
December 2020,34,-9,-20.9%,-,-
November 2020,43,-36,-45.6%,-,-
October 2020,79,-52,-39.7%,-,-
September 2020,131,+117,+835.7%,-,-
August 2020,14,-8,-36.4%,-,-
July 2020,22,+1,+4.8%,-,-
June 2020,21,-13,-38.2%,-,-
May 2020,34,+8,+30.8%,-,-
April 2020,26,0,+0.0%,-,-
March 2020,26,+5,+23.8%,-,-
February 2020,21,-19,-47.5%,-,-
January 2020,40,+15,+60.0%,-,-
December 2019,25,+6,+31.6%,-,-
November 2019,19,-6,-24.0%,-,-
October 2019,25,+6,+31.6%,-,-
September 2019,19,-19,-50.0%,-,-
August 2019,38,+18,+90.0%,-,-
July 2019,20,+2,+11.1%,-,-
June 2019,18,-12,-40.0%,-,-
May 2019,30,+13,+76.5%,-,-
April 2019,17,-4,-19.0%,-,-
March 2019,21,-7,-25.0%,-,-
February 2019,28,+4,+16.7%,-,-
January 2019,24,-14,-36.8%,-,-
December 2018,38,+14,+58.3%,-,-
November 2018,24,+1,+4.3%,-,-
October 2018,23,-43,-65.2%,-,-
September 2018,66,+50,+312.5%,-,-
August 2018,16,-10,-38.5%,-,-
July 2018,26,-3,-10.3%,-,-
June 2018,29,-34,-54.0%,-,-
May 2018,63,+45,+250.0%,-,-
April 2018,18,-7,-28.0%,-,-
March 2018,25,0,+0.0%,-,-
February 2018,25,-4,-13.8%,-,-
January 2018,29,-8,-21.6%,-,-
December 2017,37,+8,+27.6%,-,-
November 2017,29,-4,-12.1%,-,-
October 2017,33,-20,-37.7%,-,-
September 2017,53,+36,+211.8%,-,-
August 2017,17,-23,-57.5%,-,-
July 2017,40,+13,+48.1%,-,-
June 2017,27,+7,+35.0%,-,-
May 2017,20,-10,-33.3%,-,-
April 2017,30,-19,-38.8%,-,-
March 2017,49,+29,+145.0%,-,-
February 2017,20,-35,-63.6%,-,-
January 2017,55,+1,+1.9%,-,-
December 2016,54,+18,+50.0%,-,-
November 2016,36,+12,+50.0%,-,-
October 2016,24,-1,-4.0%,-,-
September 2016,25,0,+0.0%,-,-
August 2016,25,-3,-10.7%,-,-
July 2016,28,+5,+21.7%,-,-
June 2016,23,+5,+27.8%,-,-
May 2016,18,-8,-30.8%,-,-
April 2016,26,-6,-18.8%,-,-
March 2016,32,0,+0.0%,-,-
February 2016,32,-14,-30.4%,-,-
January 2016,46,-9,-16.4%,-,-
December 2015,55,-8,-12.7%,-,-
November 2015,63,-131,-67.5%,-,-
October 2015,194,+159,+454.3%,-,-
September 2015,35,-1,-2.8%,-,-
August 2015,36,-14,-28.0%,-,-
July 2015,50,-153,-75.4%,-,-
June 2015,203,+165,+434.2%,-,-
May 2015,38,+2,+5.6%,-,-
April 2015,36,-29,-44.6%,-,-
March 2015,65,-229,-77.9%,-,-
February 2015,294,+251,+583.7%,-,-
January 2015,43,-44,-50.6%,-,-
December 2014,87,-33,-27.5%,-,-
November 2014,120,-58,-32.6%,-,-
