Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,541,-378,-41.1%,256,-31.9%
May 2025,919,-451,-32.9%,376,-41.3%
April 2025,"1,370",-48,-3.4%,641,-16.3%
March 2025,"1,418",+439,+44.8%,766,+130.7%
February 2025,979,-69,-6.6%,332,-34.8%
January 2025,"1,048",-88,-7.7%,509,-15.3%
December 2024,"1,136",+255,+28.9%,601,+144.3%
November 2024,881,+150,+20.5%,246,-24.1%
October 2024,731,-421,-36.5%,324,-19.4%
September 2024,"1,152",-58,-4.8%,402,-25.3%
August 2024,"1,210",+309,+34.3%,538,+16.2%
July 2024,901,-159,-15.0%,463,-5.9%
June 2024,"1,060",+451,+74.1%,492,+72.0%
May 2024,609,-257,-29.7%,286,-21.2%
April 2024,866,-100,-10.4%,363,-11.9%
March 2024,966,-137,-12.4%,412,-2.4%
February 2024,"1,103",+293,+36.2%,422,+17.5%
January 2024,810,-307,-27.5%,359,-34.4%
December 2023,"1,117",+52,+4.9%,547,+51.9%
November 2023,"1,065",+297,+38.7%,360,+0.3%
October 2023,768,+100,+15.0%,359,+9.8%
September 2023,668,-836,-55.6%,327,-39.9%
August 2023,"1,504",-764,-33.7%,544,-34.3%
July 2023,"2,268",+890,+64.6%,828,+42.3%
June 2023,"1,378",+922,+202.2%,582,+153.0%
May 2023,456,-248,-35.2%,230,-24.3%
April 2023,704,-614,-46.6%,304,-44.5%
March 2023,"1,318",+805,+156.9%,548,+104.5%
February 2023,513,-561,-52.2%,268,-44.2%
January 2023,"1,074",-797,-42.6%,480,-29.5%
December 2022,"1,871",+653,+53.6%,681,+59.9%
November 2022,"1,218",-387,-24.1%,426,-35.3%
October 2022,"1,605",+285,+21.6%,658,-
September 2022,"1,320",-14,-1.0%,-,-
August 2022,"1,334",+321,+31.7%,-,-
July 2022,"1,013",-286,-22.0%,-,-
June 2022,"1,299",+863,+197.9%,-,-
May 2022,436,-316,-42.0%,-,-
April 2022,752,-768,-50.5%,-,-
March 2022,"1,520",+694,+84.0%,-,-
February 2022,826,-185,-18.3%,-,-
January 2022,"1,011",-403,-28.5%,-,-
December 2021,"1,414",+630,+80.4%,-,-
November 2021,784,-439,-35.9%,-,-
October 2021,"1,223",+383,+45.6%,-,-
