Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"1,546",-356,-18.7%,644,-6.0%
May 2025,"1,902",+522,+37.8%,685,+2.7%
April 2025,"1,380",-872,-38.7%,667,-43.8%
March 2025,"2,252",+445,+24.6%,"1,187",+59.5%
February 2025,"1,807","-1,162",-39.1%,744,-41.4%
January 2025,"2,969",-909,-23.4%,"1,269",-26.0%
December 2024,"3,878","+1,939",+100.0%,"1,716",+233.2%
November 2024,"1,939",-83,-4.1%,515,-30.5%
October 2024,"2,022",+263,+15.0%,741,+10.8%
September 2024,"1,759","-1,174",-40.0%,669,-24.7%
August 2024,"2,933",+714,+32.2%,888,-3.3%
July 2024,"2,219",+35,+1.6%,918,+26.4%
June 2024,"2,184",+135,+6.6%,726,+18.0%
May 2024,"2,049",+170,+9.0%,615,-8.3%
April 2024,"1,879",+166,+9.7%,671,-7.8%
March 2024,"1,713",-163,-8.7%,728,-9.2%
February 2024,"1,876",+364,+24.1%,802,+13.8%
January 2024,"1,512",-905,-37.4%,705,-35.9%
December 2023,"2,417",-223,-8.4%,"1,100",+24.3%
November 2023,"2,640",-647,-19.7%,885,-29.4%
October 2023,"3,287","-6,010",-64.6%,"1,253",-28.0%
September 2023,"9,297","+6,971",+299.7%,"1,740",+105.9%
August 2023,"2,326",-887,-27.6%,845,-38.4%
July 2023,"3,213",+780,+32.1%,"1,372",+39.9%
June 2023,"2,433","+1,132",+87.0%,981,+82.7%
May 2023,"1,301",-588,-31.1%,537,-14.9%
April 2023,"1,889",-618,-24.7%,631,-33.1%
March 2023,"2,507","+1,673",+200.6%,943,+106.3%
February 2023,834,-753,-47.4%,457,-40.7%
January 2023,"1,587",-627,-28.3%,771,-23.6%
December 2022,"2,214",+485,+28.1%,"1,009",+57.2%
November 2022,"1,729","-1,479",-46.1%,642,-49.8%
October 2022,"3,208",+571,+21.7%,"1,280",-
September 2022,"2,637",+308,+13.2%,-,-
August 2022,"2,329",-100,-4.1%,-,-
July 2022,"2,429","-1,101",-31.2%,-,-
June 2022,"3,530","+2,725",+338.5%,-,-
May 2022,805,-726,-47.4%,-,-
April 2022,"1,531","-1,912",-55.5%,-,-
March 2022,"3,443","+1,499",+77.1%,-,-
February 2022,"1,944",-224,-10.3%,-,-
January 2022,"2,168",-210,-8.8%,-,-
December 2021,"2,378",+139,+6.2%,-,-
November 2021,"2,239","-1,801",-44.6%,-,-
October 2021,"4,040","+1,732",+75.0%,-,-
September 2021,"2,308","-1,949",-45.8%,-,-
August 2021,"4,257","+2,331",+121.0%,-,-
July 2021,"1,926",+225,+13.2%,-,-
June 2021,"1,701","+1,078",+173.0%,-,-
May 2021,623,-373,-37.4%,-,-
April 2021,996,-393,-28.3%,-,-
