Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,196,-91,-31.7%,87,-15.5%
May 2025,287,+25,+9.5%,103,-8.8%
April 2025,262,-150,-36.4%,113,-41.5%
March 2025,412,+84,+25.6%,193,+112.1%
February 2025,328,-40,-10.9%,91,-36.8%
January 2025,368,-58,-13.6%,144,-24.2%
December 2024,426,+162,+61.4%,190,+171.4%
November 2024,264,+76,+40.4%,70,-12.5%
October 2024,188,-81,-30.1%,80,-14.9%
September 2024,269,-32,-10.6%,94,-14.5%
August 2024,301,-3,-1.0%,110,-12.7%
July 2024,304,+13,+4.5%,126,+1.6%
June 2024,291,+134,+85.4%,124,+67.6%
May 2024,157,-84,-34.9%,74,-18.7%
April 2024,241,-21,-8.0%,91,-11.7%
March 2024,262,-101,-27.8%,103,-13.4%
February 2024,363,+102,+39.1%,119,+22.7%
January 2024,261,-137,-34.4%,97,-36.2%
December 2023,398,+87,+28.0%,152,+72.7%
November 2023,311,+100,+47.4%,88,+8.6%
October 2023,211,+25,+13.4%,81,-6.9%
September 2023,186,-183,-49.6%,87,-36.0%
August 2023,369,-212,-36.5%,136,-47.5%
July 2023,581,-86,-12.9%,259,+15.1%
June 2023,667,+519,+350.7%,225,+216.9%
May 2023,148,-50,-25.3%,71,-16.5%
April 2023,198,-193,-49.4%,85,-43.7%
March 2023,391,+224,+134.1%,151,+96.1%
February 2023,167,-197,-54.1%,77,-41.2%
January 2023,364,-5,-1.4%,131,-22.5%
December 2022,369,+55,+17.5%,169,+65.7%
November 2022,314,-196,-38.4%,102,-43.6%
October 2022,510,+106,+26.2%,181,-
September 2022,404,+64,+18.8%,-,-
August 2022,340,-13,-3.7%,-,-
July 2022,353,-145,-29.1%,-,-
June 2022,498,+363,+268.9%,-,-
May 2022,135,-35,-20.6%,-,-
April 2022,170,-213,-55.6%,-,-
March 2022,383,+143,+59.6%,-,-
February 2022,240,-167,-41.0%,-,-
January 2022,407,-143,-26.0%,-,-
December 2021,550,+290,+111.5%,-,-
November 2021,260,-73,-21.9%,-,-
October 2021,333,+153,+85.0%,-,-
September 2021,180,-127,-41.4%,-,-
