Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,12,-7,-36.8%,3,-40.0%
April 2025,19,0,+0.0%,5,+0.0%
March 2025,19,-9,-32.1%,5,-28.6%
February 2025,28,+12,+75.0%,7,+75.0%
January 2025,16,-4,-20.0%,4,-33.3%
December 2024,20,0,+0.0%,6,+100.0%
November 2024,20,+9,+81.8%,3,+0.0%
October 2024,11,-7,-38.9%,3,-40.0%
September 2024,18,+1,+5.9%,5,+0.0%
August 2024,17,-1,-5.6%,5,+0.0%
July 2024,18,+1,+5.9%,5,+66.7%
June 2024,17,+3,+21.4%,3,+0.0%
May 2024,14,0,+0.0%,3,-25.0%
April 2024,14,-12,-46.2%,4,-50.0%
March 2024,26,-8,-23.5%,8,+33.3%
February 2024,34,+13,+61.9%,6,+0.0%
January 2024,21,-3,-12.5%,6,+0.0%
December 2023,24,+7,+41.2%,6,+50.0%
November 2023,17,+3,+21.4%,4,+33.3%
October 2023,14,+2,+16.7%,3,+0.0%
September 2023,12,+1,+9.1%,3,+50.0%
August 2023,11,-4,-26.7%,2,-50.0%
July 2023,15,+3,+25.0%,4,+100.0%
June 2023,12,+1,+9.1%,2,-33.3%
May 2023,11,-3,-21.4%,3,-25.0%
April 2023,14,-3,-17.6%,4,-20.0%
March 2023,17,-5,-22.7%,5,+0.0%
February 2023,22,-2,-8.3%,5,-28.6%
January 2023,24,+2,+9.1%,7,+40.0%
December 2022,22,-5,-18.5%,5,-28.6%
November 2022,27,+12,+80.0%,7,+133.3%
October 2022,15,-3,-16.7%,3,-
September 2022,18,-2,-10.0%,-,-
August 2022,20,-2,-9.1%,-,-
July 2022,22,0,+0.0%,-,-
June 2022,22,-5,-18.5%,-,-
May 2022,27,+6,+28.6%,-,-
April 2022,21,+3,+16.7%,-,-
March 2022,18,-7,-28.0%,-,-
February 2022,25,-4,-13.8%,-,-
January 2022,29,+1,+3.6%,-,-
December 2021,28,+4,+16.7%,-,-
November 2021,24,-11,-31.4%,-,-
October 2021,35,+10,+40.0%,-,-
September 2021,25,+3,+13.6%,-,-
August 2021,22,-14,-38.9%,-,-
July 2021,36,-2,-5.3%,-,-
June 2021,38,-44,-53.7%,-,-
May 2021,82,-69,-45.7%,-,-
April 2021,151,+108,+251.2%,-,-
March 2021,43,-4,-8.5%,-,-
February 2021,47,+9,+23.7%,-,-
January 2021,38,-1,-2.6%,-,-
December 2020,39,+5,+14.7%,-,-
November 2020,34,+15,+78.9%,-,-
October 2020,19,-7,-26.9%,-,-
September 2020,26,-10,-27.8%,-,-
August 2020,36,+4,+12.5%,-,-
July 2020,32,+3,+10.3%,-,-
June 2020,29,-16,-35.6%,-,-
May 2020,45,-6,-11.8%,-,-
April 2020,51,+20,+64.5%,-,-
March 2020,31,-1,-3.1%,-,-
February 2020,32,-2,-5.9%,-,-
January 2020,34,-7,-17.1%,-,-
December 2019,41,-11,-21.2%,-,-
November 2019,52,-150,-74.3%,-,-
October 2019,202,-,-,-,-
