Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,60,-1,-1.6%,21,-22.2%
April 2025,61,-36,-37.1%,27,-25.0%
March 2025,97,-83,-46.1%,36,-33.3%
February 2025,180,+52,+40.6%,54,+35.0%
January 2025,128,+37,+40.7%,40,+17.6%
December 2024,91,-29,-24.2%,34,-12.8%
November 2024,120,-9,-7.0%,39,+21.9%
October 2024,129,+71,+122.4%,32,+52.4%
September 2024,58,-5,-7.9%,21,-12.5%
August 2024,63,-16,-20.3%,24,-20.0%
July 2024,79,+7,+9.7%,30,+57.9%
June 2024,72,+17,+30.9%,19,-9.5%
May 2024,55,0,+0.0%,21,+0.0%
April 2024,55,-4,-6.8%,21,-4.5%
March 2024,59,+1,+1.7%,22,+0.0%
February 2024,58,-18,-23.7%,22,-21.4%
January 2024,76,+2,+2.7%,28,-3.4%
December 2023,74,-22,-22.9%,29,-14.7%
November 2023,96,-11,-10.3%,34,-5.6%
October 2023,107,-65,-37.8%,36,-5.3%
September 2023,172,+74,+75.5%,38,+22.6%
August 2023,98,+27,+38.0%,31,+10.7%
July 2023,71,+22,+44.9%,28,+47.4%
June 2023,49,-21,-30.0%,19,-26.9%
May 2023,70,+6,+9.4%,26,+13.0%
April 2023,64,+1,+1.6%,23,+9.5%
March 2023,63,+10,+18.9%,21,+10.5%
February 2023,53,-21,-28.4%,19,-32.1%
January 2023,74,-9,-10.8%,28,-9.7%
December 2022,83,-97,-53.9%,31,-36.7%
November 2022,180,+45,+33.3%,49,+69.0%
October 2022,135,+36,+36.4%,29,-
September 2022,99,+40,+67.8%,-,-
August 2022,59,-35,-37.2%,-,-
July 2022,94,-55,-36.9%,-,-
June 2022,149,+54,+56.8%,-,-
May 2022,95,+52,+120.9%,-,-
April 2022,43,+5,+13.2%,-,-
March 2022,38,-16,-29.6%,-,-
February 2022,54,-17,-23.9%,-,-
January 2022,71,+9,+14.5%,-,-
December 2021,62,-6,-8.8%,-,-
November 2021,68,-41,-37.6%,-,-
October 2021,109,+20,+22.5%,-,-
September 2021,89,+39,+78.0%,-,-
August 2021,50,-30,-37.5%,-,-
July 2021,80,+4,+5.3%,-,-
June 2021,76,-11,-12.6%,-,-
May 2021,87,+8,+10.1%,-,-
April 2021,79,+29,+58.0%,-,-
March 2021,50,-4,-7.4%,-,-
February 2021,54,-18,-25.0%,-,-
January 2021,72,-1,-1.4%,-,-
December 2020,73,-9,-11.0%,-,-
November 2020,82,-5,-5.7%,-,-
October 2020,87,+36,+70.6%,-,-
September 2020,51,+2,+4.1%,-,-
August 2020,49,-14,-22.2%,-,-
July 2020,63,+2,+3.3%,-,-
June 2020,61,-41,-40.2%,-,-
May 2020,102,+16,+18.6%,-,-
April 2020,86,+6,+7.5%,-,-
March 2020,80,+29,+56.9%,-,-
February 2020,51,-8,-13.6%,-,-
January 2020,59,-4,-6.3%,-,-
December 2019,63,-6,-8.7%,-,-
November 2019,69,+11,+19.0%,-,-
October 2019,58,+9,+18.4%,-,-
September 2019,49,-4,-7.5%,-,-
August 2019,53,-8,-13.1%,-,-
July 2019,61,+10,+19.6%,-,-
June 2019,51,-10,-16.4%,-,-
May 2019,61,+5,+8.9%,-,-
April 2019,56,-10,-15.2%,-,-
March 2019,66,-25,-27.5%,-,-
February 2019,91,-15,-14.2%,-,-
January 2019,106,-28,-20.9%,-,-
December 2018,134,-85,-38.8%,-,-
November 2018,219,-24,-9.9%,-,-
October 2018,243,+173,+247.1%,-,-
September 2018,70,+7,+11.1%,-,-
August 2018,63,-48,-43.2%,-,-
July 2018,111,-15,-11.9%,-,-
June 2018,126,+66,+110.0%,-,-
May 2018,60,-24,-28.6%,-,-
April 2018,84,-5,-5.6%,-,-
