Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,21,-3,-12.5%,7,-12.5%
April 2025,24,-13,-35.1%,8,-27.3%
March 2025,37,-19,-33.9%,11,-31.3%
February 2025,56,+14,+33.3%,16,+23.1%
January 2025,42,+10,+31.3%,13,+18.2%
December 2024,32,-11,-25.6%,11,-8.3%
November 2024,43,+2,+4.9%,12,+20.0%
October 2024,41,+20,+95.2%,10,+42.9%
September 2024,21,0,+0.0%,7,+0.0%
August 2024,21,-9,-30.0%,7,-12.5%
July 2024,30,+1,+3.4%,8,+33.3%
June 2024,29,+5,+20.8%,6,+0.0%
May 2024,24,+4,+20.0%,6,+0.0%
April 2024,20,-5,-20.0%,6,-14.3%
March 2024,25,+1,+4.2%,7,+40.0%
February 2024,24,+2,+9.1%,5,-28.6%
January 2024,22,-6,-21.4%,7,-12.5%
December 2023,28,+2,+7.7%,8,+0.0%
November 2023,26,-1,-3.7%,8,-20.0%
October 2023,27,-20,-42.6%,10,+11.1%
September 2023,47,+4,+9.3%,9,-18.2%
August 2023,43,+9,+26.5%,11,+22.2%
July 2023,34,+13,+61.9%,9,+50.0%
June 2023,21,-14,-40.0%,6,-25.0%
May 2023,35,-2,-5.4%,8,+14.3%
April 2023,37,+12,+48.0%,7,+0.0%
March 2023,25,+5,+25.0%,7,+16.7%
February 2023,20,-7,-25.9%,6,-33.3%
January 2023,27,-5,-15.6%,9,+0.0%
December 2022,32,-46,-59.0%,9,-43.8%
November 2022,78,+11,+16.4%,16,+100.0%
October 2022,67,+30,+81.1%,8,-
September 2022,37,+18,+94.7%,-,-
August 2022,19,-16,-45.7%,-,-
July 2022,35,-49,-58.3%,-,-
June 2022,84,+54,+180.0%,-,-
May 2022,30,+14,+87.5%,-,-
April 2022,16,0,+0.0%,-,-
March 2022,16,-1,-5.9%,-,-
February 2022,17,-5,-22.7%,-,-
January 2022,22,+1,+4.8%,-,-
December 2021,21,-4,-16.0%,-,-
November 2021,25,-10,-28.6%,-,-
October 2021,35,+2,+6.1%,-,-
September 2021,33,+17,+106.3%,-,-
August 2021,16,-8,-33.3%,-,-
July 2021,24,-5,-17.2%,-,-
June 2021,29,0,+0.0%,-,-
May 2021,29,+3,+11.5%,-,-
April 2021,26,+9,+52.9%,-,-
March 2021,17,-2,-10.5%,-,-
February 2021,19,-3,-13.6%,-,-
January 2021,22,-4,-15.4%,-,-
December 2020,26,-10,-27.8%,-,-
November 2020,36,-6,-14.3%,-,-
October 2020,42,+26,+162.5%,-,-
September 2020,16,-3,-15.8%,-,-
August 2020,19,-5,-20.8%,-,-
July 2020,24,+3,+14.3%,-,-
June 2020,21,-16,-43.2%,-,-
May 2020,37,+4,+12.1%,-,-
April 2020,33,+1,+3.1%,-,-
March 2020,32,+14,+77.8%,-,-
February 2020,18,-4,-18.2%,-,-
January 2020,22,-4,-15.4%,-,-
December 2019,26,-3,-10.3%,-,-
November 2019,29,+8,+38.1%,-,-
October 2019,21,+1,+5.0%,-,-
September 2019,20,-4,-16.7%,-,-
August 2019,24,-10,-29.4%,-,-
July 2019,34,+5,+17.2%,-,-
June 2019,29,+2,+7.4%,-,-
May 2019,27,+6,+28.6%,-,-
April 2019,21,+1,+5.0%,-,-
March 2019,20,-10,-33.3%,-,-
February 2019,30,-15,-33.3%,-,-
January 2019,45,0,+0.0%,-,-
December 2018,45,-23,-33.8%,-,-
November 2018,68,+8,+13.3%,-,-
October 2018,60,+38,+172.7%,-,-
September 2018,22,0,+0.0%,-,-
August 2018,22,-21,-48.8%,-,-
July 2018,43,+1,+2.4%,-,-
June 2018,42,+21,+100.0%,-,-
May 2018,21,-4,-16.0%,-,-
April 2018,25,+2,+8.7%,-,-
March 2018,23,-18,-43.9%,-,-
February 2018,41,+2,+5.1%,-,-
January 2018,39,+1,+2.6%,-,-
December 2017,38,0,+0.0%,-,-
November 2017,38,-10,-20.8%,-,-
October 2017,48,+26,+118.2%,-,-
September 2017,22,-7,-24.1%,-,-
August 2017,29,-44,-60.3%,-,-
July 2017,73,+21,+40.4%,-,-
June 2017,52,+35,+205.9%,-,-
May 2017,17,0,+0.0%,-,-
April 2017,17,-2,-10.5%,-,-
March 2017,19,-4,-17.4%,-,-
February 2017,23,-20,-46.5%,-,-
January 2017,43,-5,-10.4%,-,-
December 2016,48,-4,-7.7%,-,-
November 2016,52,+23,+79.3%,-,-
October 2016,29,+13,+81.3%,-,-
September 2016,16,-8,-33.3%,-,-
August 2016,24,-25,-51.0%,-,-
July 2016,49,+2,+4.3%,-,-
June 2016,47,+23,+95.8%,-,-
May 2016,24,+4,+20.0%,-,-
April 2016,20,-9,-31.0%,-,-
March 2016,29,+5,+20.8%,-,-
February 2016,24,-43,-64.2%,-,-
January 2016,67,-4,-5.6%,-,-
December 2015,71,+15,+26.8%,-,-
November 2015,56,+3,+5.7%,-,-
October 2015,53,+36,+211.8%,-,-
September 2015,17,-5,-22.7%,-,-
August 2015,22,-10,-31.3%,-,-
July 2015,32,-32,-50.0%,-,-
June 2015,64,+44,+220.0%,-,-
May 2015,20,-6,-23.1%,-,-
April 2015,26,-36,-58.1%,-,-
March 2015,62,+38,+158.3%,-,-
February 2015,24,-2,-7.7%,-,-
January 2015,26,-11,-29.7%,-,-
December 2014,37,-55,-59.8%,-,-
November 2014,92,-19,-17.1%,-,-
October 2014,111,+85,+326.9%,-,-
September 2014,26,-49,-65.3%,-,-
August 2014,75,+46,+158.6%,-,-
July 2014,29,+6,+26.1%,-,-
June 2014,23,-13,-36.1%,-,-
May 2014,36,-6,-14.3%,-,-
April 2014,42,-102,-70.8%,-,-
March 2014,144,-325,-69.3%,-,-
February 2014,469,-,-,-,-
