Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"58,410","+12,005",+25.9%,"27,560",+11.0%
April 2025,"46,405","-15,499",-25.0%,"24,831",-15.8%
March 2025,"61,904","-4,625",-7.0%,"29,488",-8.0%
February 2025,"66,529","-3,598",-5.1%,"32,047",-25.0%
January 2025,"70,127","-2,004",-2.8%,"42,708",-1.4%
December 2024,"72,131","+12,496",+21.0%,"43,296",+48.1%
November 2024,"59,635","+8,836",+17.4%,"29,232",+10.6%
October 2024,"50,799","-6,809",-11.8%,"26,425",+1.9%
September 2024,"57,608","+9,270",+19.2%,"25,937",+5.1%
August 2024,"48,338","+5,259",+12.2%,"24,689",-0.4%
July 2024,"43,079","+2,240",+5.5%,"24,779",+14.3%
June 2024,"40,839","-2,321",-5.4%,"21,678",-4.0%
May 2024,"43,160","-10,847",-20.1%,"22,580",-11.2%
April 2024,"54,007","+5,005",+10.2%,"25,420",-2.8%
March 2024,"49,002","-5,858",-10.7%,"26,144",-10.8%
February 2024,"54,860","-17,148",-23.8%,"29,299",-21.6%
January 2024,"72,008","-17,090",-19.2%,"37,384",-24.4%
December 2023,"89,098","+7,650",+9.4%,"49,469",+24.3%
November 2023,"81,448","-128,040",-61.1%,"39,809",-55.5%
October 2023,"209,488","-65,038",-23.7%,"89,547",+40.4%
September 2023,"274,526","+242,348",+753.1%,"63,795",+286.8%
August 2023,"32,178",+222,+0.7%,"16,495",-11.3%
July 2023,"31,956","+1,003",+3.2%,"18,587",+22.9%
June 2023,"30,953","+9,150",+42.0%,"15,125",+30.6%
May 2023,"21,803","-9,643",-30.7%,"11,585",-28.1%
April 2023,"31,446","+5,073",+19.2%,"16,114",+19.3%
March 2023,"26,373","-2,851",-9.8%,"13,512",-9.7%
February 2023,"29,224","-14,562",-33.3%,"14,960",-42.9%
January 2023,"43,786","-1,848",-4.0%,"26,196",-7.3%
December 2022,"45,634","-11,664",-20.4%,"28,253",-8.5%
November 2022,"57,298","-61,000",-51.6%,"30,864",-40.1%
October 2022,"118,298","-18,426",-13.5%,"51,487",-
September 2022,"136,724","+117,889",+625.9%,-,-
August 2022,"18,835",-742,-3.8%,-,-
July 2022,"19,577",+956,+5.1%,-,-
June 2022,"18,621","-1,356",-6.8%,-,-
May 2022,"19,977","-4,125",-17.1%,-,-
April 2022,"24,102","-11,007",-31.4%,-,-
March 2022,"35,109","-23,952",-40.6%,-,-
February 2022,"59,061","+31,430",+113.7%,-,-
January 2022,"27,631","-2,673",-8.8%,-,-
December 2021,"30,304","+1,300",+4.5%,-,-
November 2021,"29,004","+12,754",+78.5%,-,-
October 2021,"16,250","-3,522",-17.8%,-,-
September 2021,"19,772","-1,771",-8.2%,-,-
August 2021,"21,543","+4,397",+25.6%,-,-
July 2021,"17,146","+1,443",+9.2%,-,-
June 2021,"15,703","-2,205",-12.3%,-,-
May 2021,"17,908","-7,522",-29.6%,-,-
April 2021,"25,430","+2,465",+10.7%,-,-
March 2021,"22,965","-24,307",-51.4%,-,-
February 2021,"47,272","-178,283",-79.0%,-,-
January 2021,"225,555","-828,833",-78.6%,-,-
December 2020,"1,054,388",-,-,-,-
