Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,577,-141,-19.6%,310,-17.8%
April 2025,718,-86,-10.7%,377,-4.3%
March 2025,804,+44,+5.8%,394,+1.3%
February 2025,760,-192,-20.2%,389,-23.1%
January 2025,952,-33,-3.4%,506,+0.2%
December 2024,985,-69,-6.5%,505,-10.1%
November 2024,"1,054",-197,-15.7%,562,+6.0%
October 2024,"1,251",+247,+24.6%,530,+1.1%
September 2024,"1,004",-378,-27.4%,524,-27.4%
August 2024,"1,382",-299,-17.8%,722,-11.8%
July 2024,"1,681","-1,360",-44.7%,819,-31.3%
June 2024,"3,041","-4,510",-59.7%,"1,192",-58.3%
May 2024,"7,551","-3,920",-34.2%,"2,858",-21.5%
April 2024,"11,471","+10,165",+778.3%,"3,640",+449.0%
March 2024,"1,306",+219,+20.1%,663,+15.3%
February 2024,"1,087",-59,-5.1%,575,-7.6%
January 2024,"1,146",-96,-7.7%,622,-1.3%
December 2023,"1,242",+279,+29.0%,630,+14.8%
November 2023,963,-118,-10.9%,549,+18.8%
October 2023,"1,081",+121,+12.6%,462,-7.0%
September 2023,960,-267,-21.8%,497,-23.4%
August 2023,"1,227",+61,+5.2%,649,-2.7%
July 2023,"1,166",+294,+33.7%,667,+30.5%
June 2023,872,+20,+2.3%,511,+3.4%
May 2023,852,-47,-5.2%,494,-4.4%
April 2023,899,-72,-7.4%,517,+1.2%
March 2023,971,+1,+0.1%,511,-1.2%
February 2023,970,-195,-16.7%,517,-19.6%
January 2023,"1,165",+6,+0.5%,643,+5.6%
December 2022,"1,159",-76,-6.2%,609,-4.1%
November 2022,"1,235",-415,-25.2%,635,-21.2%
October 2022,"1,650",+467,+39.5%,806,-
September 2022,"1,183",-388,-24.7%,-,-
August 2022,"1,571",+436,+38.4%,-,-
July 2022,"1,135",+54,+5.0%,-,-
June 2022,"1,081",+238,+28.2%,-,-
May 2022,843,0,+0.0%,-,-
April 2022,843,-108,-11.4%,-,-
March 2022,951,-54,-5.4%,-,-
February 2022,"1,005",-67,-6.3%,-,-
January 2022,"1,072",+16,+1.5%,-,-
December 2021,"1,056",-175,-14.2%,-,-
November 2021,"1,231",-556,-31.1%,-,-
October 2021,"1,787","+1,306",+271.5%,-,-
September 2021,481,-194,-28.7%,-,-
August 2021,675,+234,+53.1%,-,-
July 2021,441,+11,+2.6%,-,-
June 2021,430,-4,-0.9%,-,-
May 2021,434,+72,+19.9%,-,-
April 2021,362,-29,-7.4%,-,-
March 2021,391,-35,-8.2%,-,-
February 2021,426,-12,-2.7%,-,-
January 2021,438,-5,-1.1%,-,-
December 2020,443,-41,-8.5%,-,-
November 2020,484,-105,-17.8%,-,-
October 2020,589,+161,+37.6%,-,-
September 2020,428,-215,-33.4%,-,-
August 2020,643,+92,+16.7%,-,-
July 2020,551,+55,+11.1%,-,-
June 2020,496,-78,-13.6%,-,-
May 2020,574,-23,-3.9%,-,-
April 2020,597,+19,+3.3%,-,-
March 2020,578,+80,+16.1%,-,-
February 2020,498,-51,-9.3%,-,-
January 2020,549,-26,-4.5%,-,-
December 2019,575,-95,-14.2%,-,-
November 2019,670,-80,-10.7%,-,-
October 2019,750,+275,+57.9%,-,-
September 2019,475,-167,-26.0%,-,-
August 2019,642,-60,-8.5%,-,-
July 2019,702,+199,+39.6%,-,-
June 2019,503,-40,-7.4%,-,-
May 2019,543,+156,+40.3%,-,-
April 2019,387,-54,-12.2%,-,-
March 2019,441,-33,-7.0%,-,-
February 2019,474,-153,-24.4%,-,-
January 2019,627,-150,-19.3%,-,-
December 2018,777,-40,-4.9%,-,-
November 2018,817,+37,+4.7%,-,-
October 2018,780,+179,+29.8%,-,-
September 2018,601,-238,-28.4%,-,-
August 2018,839,-233,-21.7%,-,-
July 2018,"1,072",-397,-27.0%,-,-
June 2018,"1,469",+654,+80.2%,-,-
May 2018,815,+199,+32.3%,-,-
April 2018,616,-41,-6.2%,-,-
March 2018,657,-53,-7.5%,-,-
February 2018,710,-50,-6.6%,-,-
January 2018,760,-40,-5.0%,-,-
December 2017,800,+68,+9.3%,-,-
November 2017,732,-63,-7.9%,-,-
October 2017,795,+73,+10.1%,-,-
September 2017,722,-105,-12.7%,-,-
August 2017,827,+40,+5.1%,-,-
July 2017,787,-14,-1.7%,-,-
June 2017,801,+96,+13.6%,-,-
May 2017,705,+23,+3.4%,-,-
April 2017,682,+92,+15.6%,-,-
March 2017,590,-72,-10.9%,-,-
February 2017,662,-158,-19.3%,-,-
January 2017,820,+58,+7.6%,-,-
December 2016,762,-27,-3.4%,-,-
November 2016,789,+80,+11.3%,-,-
October 2016,709,+101,+16.6%,-,-
September 2016,608,-171,-22.0%,-,-
August 2016,779,+58,+8.0%,-,-
July 2016,721,+3,+0.4%,-,-
June 2016,718,-17,-2.3%,-,-
May 2016,735,-82,-10.0%,-,-
April 2016,817,-81,-9.0%,-,-
March 2016,898,-468,-34.3%,-,-
February 2016,"1,366",-830,-37.8%,-,-
