Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,82,-17,-17.2%,40,-11.1%
April 2025,99,-25,-20.2%,45,-11.8%
March 2025,124,+11,+9.7%,51,+0.0%
February 2025,113,-23,-16.9%,51,-16.4%
January 2025,136,+1,+0.7%,61,+13.0%
December 2024,135,+21,+18.4%,54,+3.8%
November 2024,114,-34,-23.0%,52,-1.9%
October 2024,148,+39,+35.8%,53,+10.4%
September 2024,109,-20,-15.5%,48,-17.2%
August 2024,129,-8,-5.8%,58,-6.5%
July 2024,137,-104,-43.2%,62,-31.9%
June 2024,241,-232,-49.0%,91,-49.7%
May 2024,473,-186,-28.2%,181,-13.8%
April 2024,659,+523,+384.6%,210,+250.0%
March 2024,136,-8,-5.6%,60,+0.0%
February 2024,144,-7,-4.6%,60,-7.7%
January 2024,151,-2,-1.3%,65,-8.5%
December 2023,153,+43,+39.1%,71,+36.5%
November 2023,110,-15,-12.0%,52,+18.2%
October 2023,125,+39,+45.3%,44,+12.8%
September 2023,86,-31,-26.5%,39,-30.4%
August 2023,117,-8,-6.4%,56,+1.8%
July 2023,125,+8,+6.8%,55,+14.6%
June 2023,117,+26,+28.6%,48,+9.1%
May 2023,91,-14,-13.3%,44,-6.4%
April 2023,105,-8,-7.1%,47,-9.6%
March 2023,113,-15,-11.7%,52,-10.3%
February 2023,128,-30,-19.0%,58,-20.5%
January 2023,158,+15,+10.5%,73,+10.6%
December 2022,143,+2,+1.4%,66,+8.2%
November 2022,141,+5,+3.7%,61,-7.6%
October 2022,136,+16,+13.3%,66,-
September 2022,120,-9,-7.0%,-,-
August 2022,129,-20,-13.4%,-,-
July 2022,149,+3,+2.1%,-,-
June 2022,146,+35,+31.5%,-,-
May 2022,111,-19,-14.6%,-,-
April 2022,130,-5,-3.7%,-,-
March 2022,135,-35,-20.6%,-,-
February 2022,170,-30,-15.0%,-,-
January 2022,200,-4,-2.0%,-,-
December 2021,204,+31,+17.9%,-,-
November 2021,173,-23,-11.7%,-,-
October 2021,196,+56,+40.0%,-,-
September 2021,140,-36,-20.5%,-,-
August 2021,176,+41,+30.4%,-,-
July 2021,135,-3,-2.2%,-,-
June 2021,138,-21,-13.2%,-,-
May 2021,159,+11,+7.4%,-,-
April 2021,148,-13,-8.1%,-,-
March 2021,161,-18,-10.1%,-,-
February 2021,179,-18,-9.1%,-,-
January 2021,197,+7,+3.7%,-,-
December 2020,190,+7,+3.8%,-,-
November 2020,183,-50,-21.5%,-,-
October 2020,233,+115,+97.5%,-,-
September 2020,118,-20,-14.5%,-,-
August 2020,138,+1,+0.7%,-,-
July 2020,137,-1,-0.7%,-,-
June 2020,138,-1,-0.7%,-,-
May 2020,139,0,+0.0%,-,-
April 2020,139,-14,-9.2%,-,-
March 2020,153,+14,+10.1%,-,-
February 2020,139,-58,-29.4%,-,-
January 2020,197,-11,-5.3%,-,-
December 2019,208,-3,-1.4%,-,-
November 2019,211,+11,+5.5%,-,-
October 2019,200,+76,+61.3%,-,-
September 2019,124,-60,-32.6%,-,-
August 2019,184,-69,-27.3%,-,-
July 2019,253,+101,+66.4%,-,-
June 2019,152,+32,+26.7%,-,-
May 2019,120,+4,+3.4%,-,-
April 2019,116,-43,-27.0%,-,-
March 2019,159,-20,-11.2%,-,-
February 2019,179,-51,-22.2%,-,-
January 2019,230,-38,-14.2%,-,-
December 2018,268,-22,-7.6%,-,-
November 2018,290,+21,+7.8%,-,-
October 2018,269,+46,+20.6%,-,-
September 2018,223,-9,-3.9%,-,-
August 2018,232,-9,-3.7%,-,-
July 2018,241,-36,-13.0%,-,-
June 2018,277,+28,+11.2%,-,-
May 2018,249,-40,-13.8%,-,-
April 2018,289,-104,-26.5%,-,-
March 2018,393,-152,-27.9%,-,-
February 2018,545,-267,-32.9%,-,-
January 2018,812,"-1,852",-69.5%,-,-
December 2017,"2,664","+2,658","+44,300.0%",-,-
November 2017,6,+4,+200.0%,-,-
October 2017,2,+1,+100.0%,-,-
September 2017,1,0,+0.0%,-,-
August 2017,1,0,+0.0%,-,-
July 2017,1,0,+0.0%,-,-
June 2017,1,-,-,-,-
