Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,44,-6,-12.0%,18,-18.2%
April 2025,50,+2,+4.2%,22,+0.0%
March 2025,48,+2,+4.3%,22,+10.0%
February 2025,46,-5,-9.8%,20,-13.0%
January 2025,51,-1,-1.9%,23,+0.0%
December 2024,52,-1,-1.9%,23,-4.2%
November 2024,53,-8,-13.1%,24,-7.7%
October 2024,61,+7,+13.0%,26,-3.7%
September 2024,54,-23,-29.9%,27,-15.6%
August 2024,77,+2,+2.7%,32,-3.0%
July 2024,75,-21,-21.9%,33,-28.3%
June 2024,96,-104,-52.0%,46,-46.5%
May 2024,200,-43,-17.7%,86,+2.4%
April 2024,243,+178,+273.8%,84,+189.7%
March 2024,65,+8,+14.0%,29,+16.0%
February 2024,57,-3,-5.0%,25,+0.0%
January 2024,60,-7,-10.4%,25,-3.8%
December 2023,67,+9,+15.5%,26,+13.0%
November 2023,58,+2,+3.6%,23,+21.1%
October 2023,56,-2,-3.4%,19,-5.0%
September 2023,58,-9,-13.4%,20,-23.1%
August 2023,67,+9,+15.5%,26,+4.0%
July 2023,58,+13,+28.9%,25,+19.0%
June 2023,45,-12,-21.1%,21,-16.0%
May 2023,57,+9,+18.8%,25,+25.0%
April 2023,48,-1,-2.0%,20,-13.0%
March 2023,49,-4,-7.5%,23,+0.0%
February 2023,53,-8,-13.1%,23,-11.5%
January 2023,61,-6,-9.0%,26,-7.1%
December 2022,67,+4,+6.3%,28,-3.4%
November 2022,63,-12,-16.0%,29,-14.7%
October 2022,75,+17,+29.3%,34,-
September 2022,58,-14,-19.4%,-,-
August 2022,72,+5,+7.5%,-,-
July 2022,67,+13,+24.1%,-,-
June 2022,54,-3,-5.3%,-,-
May 2022,57,-1,-1.7%,-,-
April 2022,58,+5,+9.4%,-,-
March 2022,53,-9,-14.5%,-,-
February 2022,62,+2,+3.3%,-,-
January 2022,60,+1,+1.7%,-,-
December 2021,59,+2,+3.5%,-,-
November 2021,57,-20,-26.0%,-,-
October 2021,77,+19,+32.8%,-,-
September 2021,58,-24,-29.3%,-,-
August 2021,82,+14,+20.6%,-,-
July 2021,68,+12,+21.4%,-,-
June 2021,56,-5,-8.2%,-,-
May 2021,61,-9,-12.9%,-,-
April 2021,70,+2,+2.9%,-,-
March 2021,68,+1,+1.5%,-,-
February 2021,67,+7,+11.7%,-,-
January 2021,60,-1,-1.6%,-,-
December 2020,61,+1,+1.7%,-,-
November 2020,60,-7,-10.4%,-,-
October 2020,67,+17,+34.0%,-,-
September 2020,50,-11,-18.0%,-,-
August 2020,61,-1,-1.6%,-,-
July 2020,62,+2,+3.3%,-,-
June 2020,60,-10,-14.3%,-,-
May 2020,70,-24,-25.5%,-,-
April 2020,94,+27,+40.3%,-,-
March 2020,67,+17,+34.0%,-,-
February 2020,50,-1,-2.0%,-,-
January 2020,51,+2,+4.1%,-,-
December 2019,49,-15,-23.4%,-,-
November 2019,64,-7,-9.9%,-,-
October 2019,71,+22,+44.9%,-,-
September 2019,49,-3,-5.8%,-,-
August 2019,52,-5,-8.8%,-,-
July 2019,57,+5,+9.6%,-,-
June 2019,52,+8,+18.2%,-,-
May 2019,44,+2,+4.8%,-,-
April 2019,42,-8,-16.0%,-,-
March 2019,50,+3,+6.4%,-,-
February 2019,47,-18,-27.7%,-,-
January 2019,65,-8,-11.0%,-,-
December 2018,73,+4,+5.8%,-,-
November 2018,69,-5,-6.8%,-,-
October 2018,74,+11,+17.5%,-,-
September 2018,63,-22,-25.9%,-,-
August 2018,85,+5,+6.3%,-,-
July 2018,80,-10,-11.1%,-,-
June 2018,90,+34,+60.7%,-,-
May 2018,56,+1,+1.8%,-,-
April 2018,55,0,+0.0%,-,-
March 2018,55,-7,-11.3%,-,-
February 2018,62,-19,-23.5%,-,-
January 2018,81,+11,+15.7%,-,-
December 2017,70,-5,-6.7%,-,-
November 2017,75,+1,+1.4%,-,-
October 2017,74,+4,+5.7%,-,-
September 2017,70,-18,-20.5%,-,-
August 2017,88,+12,+15.8%,-,-
July 2017,76,-4,-5.0%,-,-
June 2017,80,+21,+35.6%,-,-
May 2017,59,+6,+11.3%,-,-
April 2017,53,-5,-8.6%,-,-
March 2017,58,+2,+3.6%,-,-
February 2017,56,-20,-26.3%,-,-
January 2017,76,+5,+7.0%,-,-
December 2016,71,+12,+20.3%,-,-
November 2016,59,-26,-30.6%,-,-
October 2016,85,+36,+73.5%,-,-
September 2016,49,-16,-24.6%,-,-
August 2016,65,+16,+32.7%,-,-
July 2016,49,-3,-5.8%,-,-
June 2016,52,+8,+18.2%,-,-
May 2016,44,-1,-2.2%,-,-
April 2016,45,-4,-8.2%,-,-
March 2016,49,-18,-26.9%,-,-
February 2016,67,-18,-21.2%,-,-
January 2016,85,+2,+2.4%,-,-
December 2015,83,-41,-33.1%,-,-
November 2015,124,-54,-30.3%,-,-
October 2015,178,+93,+109.4%,-,-
September 2015,85,-24,-22.0%,-,-
August 2015,109,-37,-25.3%,-,-
July 2015,146,-75,-33.9%,-,-
