Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,45,+14,+45.2%,14,+27.3%
April 2025,31,-6,-16.2%,11,+0.0%
March 2025,37,0,+0.0%,11,+10.0%
February 2025,37,+6,+19.4%,10,-16.7%
January 2025,31,-1,-3.1%,12,+20.0%
December 2024,32,+4,+14.3%,10,+0.0%
November 2024,28,+1,+3.7%,10,+11.1%
October 2024,27,-4,-12.9%,9,-10.0%
September 2024,31,-10,-24.4%,10,-41.2%
August 2024,41,+4,+10.8%,17,+13.3%
July 2024,37,+5,+15.6%,15,+36.4%
June 2024,32,+4,+14.3%,11,+10.0%
May 2024,28,+2,+7.7%,10,+25.0%
April 2024,26,-3,-10.3%,8,-20.0%
March 2024,29,-2,-6.5%,10,-9.1%
February 2024,31,-17,-35.4%,11,-35.3%
January 2024,48,-58,-54.7%,17,-45.2%
December 2023,106,-68,-39.1%,31,-51.6%
November 2023,174,+48,+38.1%,64,+156.0%
October 2023,126,+78,+162.5%,25,+66.7%
September 2023,48,+1,+2.1%,15,-28.6%
August 2023,47,-16,-25.4%,21,-19.2%
July 2023,63,-11,-14.9%,26,-18.8%
June 2023,74,+11,+17.5%,32,+113.3%
May 2023,63,+25,+65.8%,15,+15.4%
April 2023,38,+3,+8.6%,13,+8.3%
March 2023,35,+2,+6.1%,12,+0.0%
February 2023,33,-6,-15.4%,12,-7.7%
January 2023,39,+3,+8.3%,13,+44.4%
December 2022,36,+9,+33.3%,9,+28.6%
November 2022,27,-5,-15.6%,7,-12.5%
October 2022,32,+10,+45.5%,8,-
September 2022,22,+1,+4.8%,-,-
August 2022,21,0,+0.0%,-,-
July 2022,21,+1,+5.0%,-,-
June 2022,20,-2,-9.1%,-,-
May 2022,22,-22,-50.0%,-,-
April 2022,44,-25,-36.2%,-,-
March 2022,69,-68,-49.6%,-,-
February 2022,137,-31,-18.5%,-,-
January 2022,168,+77,+84.6%,-,-
December 2021,91,+68,+295.7%,-,-
November 2021,23,-5,-17.9%,-,-
October 2021,28,+6,+27.3%,-,-
September 2021,22,-1,-4.3%,-,-
August 2021,23,+1,+4.5%,-,-
July 2021,22,0,+0.0%,-,-
June 2021,22,-2,-8.3%,-,-
May 2021,24,+1,+4.3%,-,-
April 2021,23,-5,-17.9%,-,-
March 2021,28,+1,+3.7%,-,-
February 2021,27,-5,-15.6%,-,-
January 2021,32,+5,+18.5%,-,-
December 2020,27,+3,+12.5%,-,-
November 2020,24,-5,-17.2%,-,-
October 2020,29,+1,+3.6%,-,-
September 2020,28,0,+0.0%,-,-
August 2020,28,-20,-41.7%,-,-
July 2020,48,+3,+6.7%,-,-
June 2020,45,+8,+21.6%,-,-
May 2020,37,+1,+2.8%,-,-
April 2020,36,+11,+44.0%,-,-
March 2020,25,-9,-26.5%,-,-
February 2020,34,-7,-17.1%,-,-
January 2020,41,-6,-12.8%,-,-
December 2019,47,+24,+104.3%,-,-
November 2019,23,+2,+9.5%,-,-
October 2019,21,+1,+5.0%,-,-
September 2019,20,0,+0.0%,-,-
August 2019,20,-2,-9.1%,-,-
July 2019,22,-9,-29.0%,-,-
June 2019,31,+3,+10.7%,-,-
May 2019,28,+4,+16.7%,-,-
April 2019,24,-3,-11.1%,-,-
March 2019,27,+7,+35.0%,-,-
February 2019,20,-4,-16.7%,-,-
January 2019,24,+6,+33.3%,-,-
December 2018,18,0,+0.0%,-,-
November 2018,18,0,+0.0%,-,-
October 2018,18,0,+0.0%,-,-
September 2018,18,-11,-37.9%,-,-
August 2018,29,-16,-35.6%,-,-
July 2018,45,+11,+32.4%,-,-
June 2018,34,+13,+61.9%,-,-
May 2018,21,-7,-25.0%,-,-
April 2018,28,-3,-9.7%,-,-
March 2018,31,+1,+3.3%,-,-
February 2018,30,-13,-30.2%,-,-
January 2018,43,-1,-2.3%,-,-
December 2017,44,+15,+51.7%,-,-
November 2017,29,-4,-12.1%,-,-
October 2017,33,+9,+37.5%,-,-
September 2017,24,+1,+4.3%,-,-
August 2017,23,-3,-11.5%,-,-
July 2017,26,+1,+4.0%,-,-
June 2017,25,+2,+8.7%,-,-
May 2017,23,-4,-14.8%,-,-
April 2017,27,0,+0.0%,-,-
March 2017,27,-4,-12.9%,-,-
February 2017,31,-8,-20.5%,-,-
January 2017,39,-6,-13.3%,-,-
December 2016,45,+6,+15.4%,-,-
November 2016,39,-6,-13.3%,-,-
October 2016,45,+16,+55.2%,-,-
September 2016,29,-7,-19.4%,-,-
August 2016,36,-11,-23.4%,-,-
July 2016,47,+12,+34.3%,-,-
June 2016,35,-4,-10.3%,-,-
May 2016,39,0,+0.0%,-,-
April 2016,39,-1,-2.5%,-,-
March 2016,40,-8,-16.7%,-,-
February 2016,48,-8,-14.3%,-,-
January 2016,56,+4,+7.7%,-,-
December 2015,52,-2,-3.7%,-,-
November 2015,54,-28,-34.1%,-,-
October 2015,82,+20,+32.3%,-,-
September 2015,62,-21,-25.3%,-,-
August 2015,83,-10,-10.8%,-,-
July 2015,93,-22,-19.1%,-,-
June 2015,115,-95,-45.2%,-,-
May 2015,210,-33,-13.6%,-,-
April 2015,243,-120,-33.1%,-,-
March 2015,363,"-2,821",-88.6%,-,-
February 2015,"3,184",-,-,-,-
