Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,365,+45,+14.1%,178,+12.7%
April 2025,320,-58,-15.3%,158,-4.8%
March 2025,378,-21,-5.3%,166,-13.1%
February 2025,399,-380,-48.8%,191,-30.3%
January 2025,779,-24,-3.0%,274,+3.0%
December 2024,803,+490,+156.5%,266,+72.7%
November 2024,313,+6,+2.0%,154,+1.3%
October 2024,307,-55,-15.2%,152,-8.4%
September 2024,362,-97,-21.1%,166,-34.9%
August 2024,459,-128,-21.8%,255,-15.8%
July 2024,587,+36,+6.5%,303,+32.3%
June 2024,551,+204,+58.8%,229,+32.4%
May 2024,347,-12,-3.3%,173,+0.6%
April 2024,359,-8,-2.2%,172,-7.0%
March 2024,367,-95,-20.6%,185,-11.5%
February 2024,462,-447,-49.2%,209,-44.7%
January 2024,909,-300,-24.8%,378,-16.9%
December 2023,"1,209",-7,-0.6%,455,-16.5%
November 2023,"1,216",+35,+3.0%,545,+63.7%
October 2023,"1,181",+227,+23.8%,333,-14.4%
September 2023,954,"-2,661",-73.6%,389,-66.9%
August 2023,"3,615","-13,604",-79.0%,"1,175",-38.8%
July 2023,"17,219","+16,226","+1,634.0%","1,919",+398.4%
June 2023,993,+122,+14.0%,385,+28.8%
May 2023,871,+458,+110.9%,299,+41.7%
April 2023,413,-58,-12.3%,211,-0.5%
March 2023,471,-215,-31.3%,212,-18.8%
February 2023,686,-558,-44.9%,261,-45.5%
January 2023,"1,244",-126,-9.2%,479,+17.1%
December 2022,"1,370",+669,+95.4%,409,+40.1%
November 2022,701,-161,-18.7%,292,+11.0%
October 2022,862,+414,+92.4%,263,-
September 2022,448,+10,+2.3%,-,-
August 2022,438,-102,-18.9%,-,-
July 2022,540,+3,+0.6%,-,-
June 2022,537,-115,-17.6%,-,-
May 2022,652,-437,-40.1%,-,-
April 2022,"1,089",-794,-42.2%,-,-
March 2022,"1,883","-1,341",-41.6%,-,-
February 2022,"3,224","-4,881",-60.2%,-,-
January 2022,"8,105","-3,159",-28.0%,-,-
December 2021,"11,264",-,-,-,-
