Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,48,0,+0.0%,19,+5.6%
April 2025,48,+3,+6.7%,18,+20.0%
March 2025,45,+1,+2.3%,15,-6.3%
February 2025,44,0,+0.0%,16,-5.9%
January 2025,44,-1,-2.2%,17,+0.0%
December 2024,45,+1,+2.3%,17,+13.3%
November 2024,44,+7,+18.9%,15,+7.1%
October 2024,37,-9,-19.6%,14,-12.5%
September 2024,46,-8,-14.8%,16,-30.4%
August 2024,54,+12,+28.6%,23,+15.0%
July 2024,42,+1,+2.4%,20,+17.6%
June 2024,41,-7,-14.6%,17,+30.8%
May 2024,48,+7,+17.1%,13,-7.1%
April 2024,41,-3,-6.8%,14,-12.5%
March 2024,44,-11,-20.0%,16,-5.9%
February 2024,55,-24,-30.4%,17,-41.4%
January 2024,79,-52,-39.7%,29,-37.0%
December 2023,131,-106,-44.7%,46,-48.9%
November 2023,237,+43,+22.2%,90,+150.0%
October 2023,194,+124,+177.1%,36,+50.0%
September 2023,70,-10,-12.5%,24,-29.4%
August 2023,80,-18,-18.4%,34,-17.1%
July 2023,98,-26,-21.0%,41,-18.0%
June 2023,124,-3,-2.4%,50,+72.4%
May 2023,127,+71,+126.8%,29,+45.0%
April 2023,56,+5,+9.8%,20,+5.3%
March 2023,51,-9,-15.0%,19,-9.5%
February 2023,60,-3,-4.8%,21,-16.0%
January 2023,63,-2,-3.1%,25,+25.0%
December 2022,65,+19,+41.3%,20,+42.9%
November 2022,46,-3,-6.1%,14,-12.5%
October 2022,49,+8,+19.5%,16,-
September 2022,41,-13,-24.1%,-,-
August 2022,54,+7,+14.9%,-,-
July 2022,47,+11,+30.6%,-,-
June 2022,36,-9,-20.0%,-,-
May 2022,45,-39,-46.4%,-,-
April 2022,84,-47,-35.9%,-,-
March 2022,131,-137,-51.1%,-,-
February 2022,268,-53,-16.5%,-,-
January 2022,321,+120,+59.7%,-,-
December 2021,201,+142,+240.7%,-,-
November 2021,59,-24,-28.9%,-,-
October 2021,83,+36,+76.6%,-,-
September 2021,47,-9,-16.1%,-,-
August 2021,56,-1,-1.8%,-,-
July 2021,57,+1,+1.8%,-,-
June 2021,56,-9,-13.8%,-,-
May 2021,65,-7,-9.7%,-,-
April 2021,72,-6,-7.7%,-,-
March 2021,78,-13,-14.3%,-,-
February 2021,91,0,+0.0%,-,-
January 2021,91,-9,-9.0%,-,-
December 2020,100,+33,+49.3%,-,-
November 2020,67,-24,-26.4%,-,-
October 2020,91,+23,+33.8%,-,-
September 2020,68,-16,-19.0%,-,-
August 2020,84,-49,-36.8%,-,-
July 2020,133,+12,+9.9%,-,-
June 2020,121,+46,+61.3%,-,-
May 2020,75,+1,+1.4%,-,-
April 2020,74,+17,+29.8%,-,-
March 2020,57,-2,-3.4%,-,-
February 2020,59,-23,-28.0%,-,-
January 2020,82,-19,-18.8%,-,-
December 2019,101,+49,+94.2%,-,-
November 2019,52,+8,+18.2%,-,-
October 2019,44,-3,-6.4%,-,-
September 2019,47,+2,+4.4%,-,-
August 2019,45,-8,-15.1%,-,-
July 2019,53,-23,-30.3%,-,-
June 2019,76,-2,-2.6%,-,-
May 2019,78,+18,+30.0%,-,-
April 2019,60,-1,-1.6%,-,-
March 2019,61,+8,+15.1%,-,-
February 2019,53,+3,+6.0%,-,-
January 2019,50,+3,+6.4%,-,-
December 2018,47,+3,+6.8%,-,-
November 2018,44,-1,-2.2%,-,-
October 2018,45,-11,-19.6%,-,-
September 2018,56,-19,-25.3%,-,-
August 2018,75,-47,-38.5%,-,-
July 2018,122,+16,+15.1%,-,-
June 2018,106,+45,+73.8%,-,-
May 2018,61,-16,-20.8%,-,-
April 2018,77,-22,-22.2%,-,-
March 2018,99,+5,+5.3%,-,-
February 2018,94,-7,-6.9%,-,-
January 2018,101,-46,-31.3%,-,-
December 2017,147,+53,+56.4%,-,-
November 2017,94,-28,-23.0%,-,-
October 2017,122,+24,+24.5%,-,-
September 2017,98,+6,+6.5%,-,-
August 2017,92,-9,-8.9%,-,-
July 2017,101,-13,-11.4%,-,-
June 2017,114,+20,+21.3%,-,-
May 2017,94,-4,-4.1%,-,-
April 2017,98,-25,-20.3%,-,-
March 2017,123,-28,-18.5%,-,-
February 2017,151,-133,-46.8%,-,-
January 2017,284,-610,-68.2%,-,-
December 2016,894,+131,+17.2%,-,-
November 2016,763,"-2,785",-78.5%,-,-
October 2016,"3,548",+59,+1.7%,-,-
September 2016,"3,489",-,-,-,-
