Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,13,+3,+30.0%,2,+0.0%
April 2025,10,+3,+42.9%,2,+100.0%
March 2025,7,-1,-12.5%,1,-50.0%
February 2025,8,-2,-20.0%,2,+0.0%
January 2025,10,+1,+11.1%,2,+0.0%
December 2024,9,+1,+12.5%,2,+0.0%
November 2024,8,-2,-20.0%,2,+0.0%
October 2024,10,-2,-16.7%,2,+0.0%
September 2024,12,-7,-36.8%,2,-60.0%
August 2024,19,+5,+35.7%,5,+0.0%
July 2024,14,-7,-33.3%,5,+25.0%
June 2024,21,+9,+75.0%,4,+33.3%
May 2024,12,-2,-14.3%,3,+50.0%
April 2024,14,0,+0.0%,2,-50.0%
March 2024,14,+1,+7.7%,4,+33.3%
February 2024,13,-1,-7.1%,3,+0.0%
January 2024,14,0,+0.0%,3,+0.0%
December 2023,14,0,+0.0%,3,-25.0%
November 2023,14,-2,-12.5%,4,+33.3%
October 2023,16,+4,+33.3%,3,+0.0%
September 2023,12,-7,-36.8%,3,-40.0%
August 2023,19,-4,-17.4%,5,+0.0%
July 2023,23,-4,-14.8%,5,+0.0%
June 2023,27,+15,+125.0%,5,+66.7%
May 2023,12,-6,-33.3%,3,-25.0%
April 2023,18,-6,-25.0%,4,-20.0%
March 2023,24,+6,+33.3%,5,+0.0%
February 2023,18,-5,-21.7%,5,-16.7%
January 2023,23,+1,+4.5%,6,+20.0%
December 2022,22,-1,-4.3%,5,+0.0%
November 2022,23,-1,-4.2%,5,+0.0%
October 2022,24,-14,-36.8%,5,-
September 2022,38,-38,-50.0%,-,-
August 2022,76,-150,-66.4%,-,-
July 2022,226,-32,-12.4%,-,-
June 2022,258,-,-,-,-
