Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"2,130","+1,114",+109.6%,714,+60.4%
April 2025,"1,016",-257,-20.2%,445,-22.3%
March 2025,"1,273",-362,-22.1%,573,-17.2%
February 2025,"1,635",-562,-25.6%,692,-26.7%
January 2025,"2,197",-302,-12.1%,944,-6.6%
December 2024,"2,499","+1,365",+120.4%,"1,011",+94.4%
November 2024,"1,134",+210,+22.7%,520,+24.4%
October 2024,924,-206,-18.2%,418,-13.8%
September 2024,"1,130",-110,-8.9%,485,-18.6%
August 2024,"1,240",-307,-19.8%,596,-17.8%
July 2024,"1,547",+250,+19.3%,725,+43.8%
June 2024,"1,297",+249,+23.8%,504,+4.6%
May 2024,"1,048",-241,-18.7%,482,-10.7%
April 2024,"1,289",+148,+13.0%,540,-0.9%
March 2024,"1,141",-188,-14.1%,545,-6.2%
February 2024,"1,329",+91,+7.4%,581,-2.7%
January 2024,"1,238",-30,-2.4%,597,-1.0%
December 2023,"1,268",+187,+17.3%,603,+36.7%
November 2023,"1,081",-24,-2.2%,441,-9.1%
October 2023,"1,105",+144,+15.0%,485,+8.0%
September 2023,961,-810,-45.7%,449,-33.6%
August 2023,"1,771",+36,+2.1%,676,-20.8%
July 2023,"1,735",+635,+57.7%,853,+60.9%
June 2023,"1,100",+262,+31.3%,530,+23.0%
May 2023,838,-210,-20.0%,431,-16.3%
April 2023,"1,048",-10,-0.9%,515,+2.6%
March 2023,"1,058",-196,-15.6%,502,-12.4%
February 2023,"1,254",-706,-36.0%,573,-35.3%
January 2023,"1,960",+27,+1.4%,885,+1.1%
December 2022,"1,933",+298,+18.2%,875,+37.4%
November 2022,"1,635",+327,+25.0%,637,+23.4%
October 2022,"1,308",+98,+8.1%,516,-
September 2022,"1,210",-110,-8.3%,-,-
August 2022,"1,320",+104,+8.6%,-,-
July 2022,"1,216",+40,+3.4%,-,-
June 2022,"1,176",-139,-10.6%,-,-
May 2022,"1,315",-181,-12.1%,-,-
April 2022,"1,496",+77,+5.4%,-,-
March 2022,"1,419","-1,330",-48.4%,-,-
February 2022,"2,749","-3,756",-57.7%,-,-
January 2022,"6,505",+563,+9.5%,-,-
December 2021,"5,942","+4,410",+287.9%,-,-
November 2021,"1,532",-21,-1.4%,-,-
October 2021,"1,553",-664,-30.0%,-,-
September 2021,"2,217",+95,+4.5%,-,-
August 2021,"2,122",+254,+13.6%,-,-
July 2021,"1,868",+422,+29.2%,-,-
June 2021,"1,446",-439,-23.3%,-,-
May 2021,"1,885",-296,-13.6%,-,-
April 2021,"2,181",+343,+18.7%,-,-
March 2021,"1,838",+72,+4.1%,-,-
