Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,25,+2,+8.7%,5,-16.7%
April 2025,23,-2,-8.0%,6,-14.3%
March 2025,25,-4,-13.8%,7,+0.0%
February 2025,29,-10,-25.6%,7,-12.5%
January 2025,39,+4,+11.4%,8,+0.0%
December 2024,35,+9,+34.6%,8,+14.3%
November 2024,26,-24,-48.0%,7,-22.2%
October 2024,50,+26,+108.3%,9,+28.6%
September 2024,24,0,+0.0%,7,+0.0%
August 2024,24,-3,-11.1%,7,+0.0%
July 2024,27,+6,+28.6%,7,+0.0%
June 2024,21,-5,-19.2%,7,+0.0%
May 2024,26,-2,-7.1%,7,-12.5%
April 2024,28,-4,-12.5%,8,+0.0%
March 2024,32,0,+0.0%,8,+0.0%
February 2024,32,+4,+14.3%,8,+0.0%
January 2024,28,0,+0.0%,8,+0.0%
December 2023,28,0,+0.0%,8,+0.0%
November 2023,28,-3,-9.7%,8,+0.0%
October 2023,31,+4,+14.8%,8,+14.3%
September 2023,27,-3,-10.0%,7,-12.5%
August 2023,30,-5,-14.3%,8,-20.0%
July 2023,35,0,+0.0%,10,-9.1%
June 2023,35,+2,+6.1%,11,+37.5%
May 2023,33,0,+0.0%,8,-11.1%
April 2023,33,+2,+6.5%,9,+0.0%
March 2023,31,-5,-13.9%,9,-10.0%
February 2023,36,+4,+12.5%,10,-9.1%
January 2023,32,-1,-3.0%,11,+10.0%
December 2022,33,-1,-2.9%,10,+25.0%
November 2022,34,+1,+3.0%,8,+0.0%
October 2022,33,+5,+17.9%,8,-
September 2022,28,+1,+3.7%,-,-
August 2022,27,-4,-12.9%,-,-
July 2022,31,+2,+6.9%,-,-
June 2022,29,-4,-12.1%,-,-
May 2022,33,-4,-10.8%,-,-
April 2022,37,+2,+5.7%,-,-
March 2022,35,-3,-7.9%,-,-
February 2022,38,-13,-25.5%,-,-
January 2022,51,+6,+13.3%,-,-
December 2021,45,-4,-8.2%,-,-
November 2021,49,-2,-3.9%,-,-
October 2021,51,+16,+45.7%,-,-
September 2021,35,-9,-20.5%,-,-
August 2021,44,-8,-15.4%,-,-
July 2021,52,0,+0.0%,-,-
June 2021,52,-13,-20.0%,-,-
May 2021,65,-31,-32.3%,-,-
April 2021,96,-210,-68.6%,-,-
March 2021,306,+223,+268.7%,-,-
February 2021,83,+7,+9.2%,-,-
January 2021,76,-16,-17.4%,-,-
December 2020,92,+4,+4.5%,-,-
November 2020,88,+14,+18.9%,-,-
October 2020,74,+14,+23.3%,-,-
September 2020,60,-18,-23.1%,-,-
August 2020,78,+1,+1.3%,-,-
July 2020,77,-24,-23.8%,-,-
June 2020,101,-174,-63.3%,-,-
May 2020,275,-308,-52.8%,-,-
April 2020,583,"-2,855",-83.0%,-,-
March 2020,"3,438","+3,409","+11,755.2%",-,-
February 2020,29,-6,-17.1%,-,-
January 2020,35,-17,-32.7%,-,-
December 2019,52,+19,+57.6%,-,-
November 2019,33,+4,+13.8%,-,-
October 2019,29,-16,-35.6%,-,-
September 2019,45,+18,+66.7%,-,-
August 2019,27,-47,-63.5%,-,-
July 2019,74,+43,+138.7%,-,-
June 2019,31,+3,+10.7%,-,-
May 2019,28,+1,+3.7%,-,-
April 2019,27,-20,-42.6%,-,-
March 2019,47,+5,+11.9%,-,-
February 2019,42,-1,-2.3%,-,-
January 2019,43,-9,-17.3%,-,-
December 2018,52,+11,+26.8%,-,-
November 2018,41,-2,-4.7%,-,-
October 2018,43,+4,+10.3%,-,-
September 2018,39,+1,+2.6%,-,-
August 2018,38,+5,+15.2%,-,-
July 2018,33,-4,-10.8%,-,-
June 2018,37,+10,+37.0%,-,-
May 2018,27,-25,-48.1%,-,-
April 2018,52,-13,-20.0%,-,-
March 2018,65,+19,+41.3%,-,-
February 2018,46,-3,-6.1%,-,-
January 2018,49,-11,-18.3%,-,-
December 2017,60,+4,+7.1%,-,-
November 2017,56,+17,+43.6%,-,-
October 2017,39,-4,-9.3%,-,-
September 2017,43,+14,+48.3%,-,-
August 2017,29,-14,-32.6%,-,-
July 2017,43,0,+0.0%,-,-
June 2017,43,+19,+79.2%,-,-
May 2017,24,-4,-14.3%,-,-
April 2017,28,-3,-9.7%,-,-
March 2017,31,-25,-44.6%,-,-
February 2017,56,+11,+24.4%,-,-
January 2017,45,-23,-33.8%,-,-
December 2016,68,-15,-18.1%,-,-
November 2016,83,+53,+176.7%,-,-
October 2016,30,+1,+3.4%,-,-
September 2016,29,-19,-39.6%,-,-
August 2016,48,+3,+6.7%,-,-
July 2016,45,+9,+25.0%,-,-
June 2016,36,+1,+2.9%,-,-
May 2016,35,-8,-18.6%,-,-
April 2016,43,-22,-33.8%,-,-
March 2016,65,-13,-16.7%,-,-
February 2016,78,-51,-39.5%,-,-
January 2016,129,-7,-5.1%,-,-
December 2015,136,+66,+94.3%,-,-
November 2015,70,-78,-52.7%,-,-
October 2015,148,-6,-3.9%,-,-
September 2015,154,+111,+258.1%,-,-
August 2015,43,-6,-12.2%,-,-
July 2015,49,-25,-33.8%,-,-
June 2015,74,+20,+37.0%,-,-
May 2015,54,+5,+10.2%,-,-
April 2015,49,-20,-29.0%,-,-
March 2015,69,-47,-40.5%,-,-
February 2015,116,-201,-63.4%,-,-
January 2015,317,+118,+59.3%,-,-
December 2014,199,-383,-65.8%,-,-
November 2014,582,-,-,-,-
