Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,85,+7,+9.0%,32,-3.0%
April 2025,78,-23,-22.8%,33,-15.4%
March 2025,101,-2,-1.9%,39,+0.0%
February 2025,103,+8,+8.4%,39,-4.9%
January 2025,95,-2,-2.1%,41,-6.8%
December 2024,97,+15,+18.3%,44,+25.7%
November 2024,82,-67,-45.0%,35,-30.0%
October 2024,149,+58,+63.7%,50,+38.9%
September 2024,91,-5,-5.2%,36,-5.3%
August 2024,96,-4,-4.0%,38,-9.5%
July 2024,100,+15,+17.6%,42,+40.0%
June 2024,85,-5,-5.6%,30,-11.8%
May 2024,90,-23,-20.4%,34,-20.9%
April 2024,113,-20,-15.0%,43,-20.4%
March 2024,133,-35,-20.8%,54,-28.0%
February 2024,168,+53,+46.1%,75,+50.0%
January 2024,115,-9,-7.3%,50,+0.0%
December 2023,124,+22,+21.6%,50,+19.0%
November 2023,102,+7,+7.4%,42,+10.5%
October 2023,95,-4,-4.0%,38,-7.3%
September 2023,99,-11,-10.0%,41,-6.8%
August 2023,110,-3,-2.7%,44,-8.3%
July 2023,113,-26,-18.7%,48,+2.1%
June 2023,139,+41,+41.8%,47,+30.6%
May 2023,98,+4,+4.3%,36,-5.3%
April 2023,94,-4,-4.1%,38,-5.0%
March 2023,98,-23,-19.0%,40,+2.6%
February 2023,121,+4,+3.4%,39,-13.3%
January 2023,117,-1,-0.8%,45,+0.0%
December 2022,118,+26,+28.3%,45,+32.4%
November 2022,92,+21,+29.6%,34,+9.7%
October 2022,71,-6,-7.8%,31,-
September 2022,77,+1,+1.3%,-,-
August 2022,76,-20,-20.8%,-,-
July 2022,96,+4,+4.3%,-,-
June 2022,92,+3,+3.4%,-,-
May 2022,89,-7,-7.3%,-,-
April 2022,96,-24,-20.0%,-,-
March 2022,120,+10,+9.1%,-,-
February 2022,110,-63,-36.4%,-,-
January 2022,173,+12,+7.5%,-,-
December 2021,161,-97,-37.6%,-,-
November 2021,258,-68,-20.9%,-,-
October 2021,326,+239,+274.7%,-,-
September 2021,87,-29,-25.0%,-,-
August 2021,116,-5,-4.1%,-,-
July 2021,121,+10,+9.0%,-,-
June 2021,111,-7,-5.9%,-,-
May 2021,118,-9,-7.1%,-,-
April 2021,127,-69,-35.2%,-,-
March 2021,196,+38,+24.1%,-,-
February 2021,158,-6,-3.7%,-,-
January 2021,164,+23,+16.3%,-,-
December 2020,141,-11,-7.2%,-,-
November 2020,152,+49,+47.6%,-,-
October 2020,103,+24,+30.4%,-,-
September 2020,79,-51,-39.2%,-,-
August 2020,130,-12,-8.5%,-,-
July 2020,142,+12,+9.2%,-,-
June 2020,130,-44,-25.3%,-,-
May 2020,174,-21,-10.8%,-,-
April 2020,195,-113,-36.7%,-,-
March 2020,308,+155,+101.3%,-,-
February 2020,153,+48,+45.7%,-,-
January 2020,105,-5,-4.5%,-,-
December 2019,110,-7,-6.0%,-,-
November 2019,117,+43,+58.1%,-,-
October 2019,74,-49,-39.8%,-,-
