Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,9,-1,-10.0%,2,+0.0%
April 2025,10,0,+0.0%,2,+0.0%
March 2025,10,-4,-28.6%,2,-33.3%
February 2025,14,0,+0.0%,3,+0.0%
January 2025,14,0,+0.0%,3,+0.0%
December 2024,14,+4,+40.0%,3,+50.0%
November 2024,10,-3,-23.1%,2,-50.0%
October 2024,13,0,+0.0%,4,+33.3%
September 2024,13,+1,+8.3%,3,+0.0%
August 2024,12,-2,-14.3%,3,-25.0%
July 2024,14,-1,-6.7%,4,+100.0%
June 2024,15,+1,+7.1%,2,-33.3%
May 2024,14,-8,-36.4%,3,-25.0%
April 2024,22,+7,+46.7%,4,+0.0%
March 2024,15,-3,-16.7%,4,-20.0%
February 2024,18,-1,-5.3%,5,+0.0%
January 2024,19,+3,+18.8%,5,+25.0%
December 2023,16,+1,+6.7%,4,+0.0%
November 2023,15,-10,-40.0%,4,-33.3%
October 2023,25,+6,+31.6%,6,+0.0%
September 2023,19,-2,-9.5%,6,-25.0%
August 2023,21,+1,+5.0%,8,+0.0%
July 2023,20,0,+0.0%,8,+60.0%
June 2023,20,+1,+5.3%,5,-16.7%
May 2023,19,-3,-13.6%,6,-14.3%
April 2023,22,-1,-4.3%,7,+16.7%
March 2023,23,+2,+9.5%,6,+0.0%
February 2023,21,-1,-4.5%,6,-14.3%
January 2023,22,-6,-21.4%,7,-12.5%
December 2022,28,+9,+47.4%,8,+60.0%
November 2022,19,+1,+5.6%,5,+0.0%
October 2022,18,+1,+5.9%,5,-
September 2022,17,-5,-22.7%,-,-
August 2022,22,+4,+22.2%,-,-
July 2022,18,-1,-5.3%,-,-
June 2022,19,-4,-17.4%,-,-
May 2022,23,-6,-20.7%,-,-
April 2022,29,+4,+16.0%,-,-
March 2022,25,-1,-3.8%,-,-
February 2022,26,-5,-16.1%,-,-
January 2022,31,+5,+19.2%,-,-
December 2021,26,0,+0.0%,-,-
November 2021,26,-4,-13.3%,-,-
October 2021,30,+13,+76.5%,-,-
September 2021,17,-4,-19.0%,-,-
August 2021,21,-3,-12.5%,-,-
July 2021,24,0,+0.0%,-,-
June 2021,24,-1,-4.0%,-,-
May 2021,25,-2,-7.4%,-,-
April 2021,27,-7,-20.6%,-,-
March 2021,34,+6,+21.4%,-,-
February 2021,28,-2,-6.7%,-,-
January 2021,30,+3,+11.1%,-,-
December 2020,27,-7,-20.6%,-,-
November 2020,34,+14,+70.0%,-,-
October 2020,20,-3,-13.0%,-,-
September 2020,23,-3,-11.5%,-,-
August 2020,26,-5,-16.1%,-,-
July 2020,31,+2,+6.9%,-,-
June 2020,29,-5,-14.7%,-,-
May 2020,34,-5,-12.8%,-,-
April 2020,39,-13,-25.0%,-,-
March 2020,52,+30,+136.4%,-,-
February 2020,22,+1,+4.8%,-,-
January 2020,21,-1,-4.5%,-,-
December 2019,22,0,+0.0%,-,-
November 2019,22,+3,+15.8%,-,-
October 2019,19,-4,-17.4%,-,-
September 2019,23,+7,+43.8%,-,-
August 2019,16,-6,-27.3%,-,-
July 2019,22,+1,+4.8%,-,-
June 2019,21,+6,+40.0%,-,-
May 2019,15,-4,-21.1%,-,-
April 2019,19,0,+0.0%,-,-
March 2019,19,-2,-9.5%,-,-
February 2019,21,+1,+5.0%,-,-
January 2019,20,-1,-4.8%,-,-
December 2018,21,+2,+10.5%,-,-
November 2018,19,+2,+11.8%,-,-
October 2018,17,-2,-10.5%,-,-
September 2018,19,0,+0.0%,-,-
August 2018,19,-4,-17.4%,-,-
July 2018,23,+2,+9.5%,-,-
June 2018,21,+3,+16.7%,-,-
May 2018,18,-5,-21.7%,-,-
April 2018,23,-9,-28.1%,-,-
March 2018,32,+14,+77.8%,-,-
February 2018,18,0,+0.0%,-,-
January 2018,18,-2,-10.0%,-,-
December 2017,20,-1,-4.8%,-,-
November 2017,21,+4,+23.5%,-,-
October 2017,17,-1,-5.6%,-,-
September 2017,18,+4,+28.6%,-,-
August 2017,14,-6,-30.0%,-,-
July 2017,20,0,+0.0%,-,-
June 2017,20,+5,+33.3%,-,-
May 2017,15,-1,-6.3%,-,-
April 2017,16,-1,-5.9%,-,-
March 2017,17,0,+0.0%,-,-
February 2017,17,+4,+30.8%,-,-
January 2017,13,-4,-23.5%,-,-
December 2016,17,-3,-15.0%,-,-
November 2016,20,+7,+53.8%,-,-
October 2016,13,-1,-7.1%,-,-
September 2016,14,-1,-6.7%,-,-
August 2016,15,0,+0.0%,-,-
July 2016,15,-9,-37.5%,-,-
June 2016,24,+11,+84.6%,-,-
May 2016,13,-6,-31.6%,-,-
April 2016,19,+4,+26.7%,-,-
March 2016,15,-5,-25.0%,-,-
February 2016,20,-2,-9.1%,-,-
January 2016,22,-9,-29.0%,-,-
December 2015,31,+11,+55.0%,-,-
November 2015,20,-23,-53.5%,-,-
October 2015,43,+19,+79.2%,-,-
September 2015,24,+8,+50.0%,-,-
August 2015,16,+1,+6.7%,-,-
July 2015,15,-16,-51.6%,-,-
June 2015,31,+19,+158.3%,-,-
May 2015,12,-1,-7.7%,-,-
April 2015,13,-1,-7.1%,-,-
March 2015,14,-2,-12.5%,-,-
February 2015,16,-29,-64.4%,-,-
January 2015,45,+28,+164.7%,-,-
December 2014,17,0,+0.0%,-,-
November 2014,17,+5,+41.7%,-,-
October 2014,12,-14,-53.8%,-,-
September 2014,26,+14,+116.7%,-,-
August 2014,12,-2,-14.3%,-,-
July 2014,14,-3,-17.6%,-,-
June 2014,17,+3,+21.4%,-,-
May 2014,14,+3,+27.3%,-,-
April 2014,11,-7,-38.9%,-,-
March 2014,18,-1,-5.3%,-,-
February 2014,19,+3,+18.8%,-,-
January 2014,16,-3,-15.8%,-,-
December 2013,19,0,+0.0%,-,-
November 2013,19,+11,+137.5%,-,-
October 2013,8,-3,-27.3%,-,-
September 2013,11,-23,-67.6%,-,-
August 2013,34,+20,+142.9%,-,-
July 2013,14,-8,-36.4%,-,-
June 2013,22,+13,+144.4%,-,-
May 2013,9,-4,-30.8%,-,-
April 2013,13,+4,+44.4%,-,-
March 2013,9,-5,-35.7%,-,-
February 2013,14,-3,-17.6%,-,-
January 2013,17,-19,-52.8%,-,-
December 2012,36,+17,+89.5%,-,-
November 2012,19,+15,+375.0%,-,-
October 2012,4,-,-,-,-
