Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,535,-107,-16.7%,215,-21.2%
April 2025,642,-195,-23.3%,273,-19.9%
March 2025,837,-112,-11.8%,341,-9.8%
February 2025,949,+179,+23.2%,378,+8.9%
January 2025,770,-4,-0.5%,347,+3.9%
December 2024,774,-14,-1.8%,334,+0.0%
November 2024,788,-365,-31.7%,334,-21.4%
October 2024,"1,153",+763,+195.6%,425,+142.9%
September 2024,390,-135,-25.7%,175,-20.5%
August 2024,525,-100,-16.0%,220,-18.2%
July 2024,625,-11,-1.7%,269,+3.1%
June 2024,636,-265,-29.4%,261,-29.3%
May 2024,901,-410,-31.3%,369,-38.5%
April 2024,"1,311","-1,522",-53.7%,600,-40.0%
March 2024,"2,833","-3,956",-58.3%,"1,000",-57.0%
February 2024,"6,789",-,-,"2,327",-
