Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,18,-2,-10.0%,6,-14.3%
April 2025,20,-7,-25.9%,7,-12.5%
March 2025,27,+1,+3.8%,8,+0.0%
February 2025,26,+2,+8.3%,8,+0.0%
January 2025,24,+4,+20.0%,8,+33.3%
December 2024,20,-2,-9.1%,6,+20.0%
November 2024,22,-3,-12.0%,5,-37.5%
October 2024,25,+5,+25.0%,8,+33.3%
September 2024,20,-6,-23.1%,6,+0.0%
August 2024,26,+8,+44.4%,6,+20.0%
July 2024,18,-4,-18.2%,5,-28.6%
June 2024,22,-1,-4.3%,7,-12.5%
May 2024,23,-6,-20.7%,8,-11.1%
April 2024,29,-6,-17.1%,9,-18.2%
March 2024,35,-22,-38.6%,11,-42.1%
February 2024,57,+9,+18.8%,19,-5.0%
January 2024,48,+5,+11.6%,20,+25.0%
December 2023,43,-8,-15.7%,16,-11.1%
November 2023,51,-8,-13.6%,18,-10.0%
October 2023,59,-4,-6.3%,20,-13.0%
September 2023,63,+2,+3.3%,23,+0.0%
August 2023,61,+1,+1.7%,23,-4.2%
July 2023,60,+11,+22.4%,24,+26.3%
June 2023,49,-11,-18.3%,19,-13.6%
May 2023,60,-1,-1.6%,22,-8.3%
April 2023,61,-2,-3.2%,24,-7.7%
March 2023,63,-9,-12.5%,26,+8.3%
February 2023,72,-6,-7.7%,24,-11.1%
January 2023,78,+7,+9.9%,27,+3.8%
December 2022,71,+6,+9.2%,26,+30.0%
November 2022,65,+15,+30.0%,20,+5.3%
October 2022,50,-5,-9.1%,19,-
September 2022,55,-2,-3.5%,-,-
August 2022,57,+4,+7.5%,-,-
July 2022,53,-1,-1.9%,-,-
June 2022,54,-6,-10.0%,-,-
May 2022,60,-11,-15.5%,-,-
April 2022,71,-9,-11.3%,-,-
March 2022,80,-8,-9.1%,-,-
February 2022,88,+2,+2.3%,-,-
January 2022,86,+15,+21.1%,-,-
December 2021,71,-24,-25.3%,-,-
November 2021,95,-2,-2.1%,-,-
October 2021,97,+43,+79.6%,-,-
September 2021,54,-15,-21.7%,-,-
August 2021,69,+8,+13.1%,-,-
July 2021,61,-5,-7.6%,-,-
June 2021,66,+3,+4.8%,-,-
May 2021,63,-37,-37.0%,-,-
April 2021,100,-7,-6.5%,-,-
March 2021,107,+14,+15.1%,-,-
February 2021,93,+3,+3.3%,-,-
January 2021,90,+14,+18.4%,-,-
December 2020,76,-4,-5.0%,-,-
November 2020,80,+17,+27.0%,-,-
October 2020,63,+5,+8.6%,-,-
September 2020,58,-15,-20.5%,-,-
August 2020,73,+2,+2.8%,-,-
July 2020,71,-1,-1.4%,-,-
June 2020,72,-29,-28.7%,-,-
May 2020,101,-13,-11.4%,-,-
April 2020,114,-24,-17.4%,-,-
March 2020,138,+82,+146.4%,-,-
February 2020,56,-4,-6.7%,-,-
January 2020,60,-3,-4.8%,-,-
December 2019,63,+8,+14.5%,-,-
November 2019,55,+7,+14.6%,-,-
October 2019,48,-4,-7.7%,-,-
September 2019,52,+1,+2.0%,-,-
August 2019,51,+3,+6.3%,-,-
July 2019,48,+8,+20.0%,-,-
June 2019,40,0,+0.0%,-,-
May 2019,40,-2,-4.8%,-,-
April 2019,42,-17,-28.8%,-,-
March 2019,59,+7,+13.5%,-,-
February 2019,52,-3,-5.5%,-,-
January 2019,55,-3,-5.2%,-,-
December 2018,58,+6,+11.5%,-,-
November 2018,52,-4,-7.1%,-,-
October 2018,56,+11,+24.4%,-,-
September 2018,45,-7,-13.5%,-,-
August 2018,52,+2,+4.0%,-,-
July 2018,50,-10,-16.7%,-,-
June 2018,60,+12,+25.0%,-,-
May 2018,48,-14,-22.6%,-,-
April 2018,62,-12,-16.2%,-,-
March 2018,74,+24,+48.0%,-,-
February 2018,50,-13,-20.6%,-,-
January 2018,63,-5,-7.4%,-,-
December 2017,68,+18,+36.0%,-,-
November 2017,50,+9,+22.0%,-,-
October 2017,41,-6,-12.8%,-,-
September 2017,47,+7,+17.5%,-,-
August 2017,40,-7,-14.9%,-,-
July 2017,47,0,+0.0%,-,-
June 2017,47,+15,+46.9%,-,-
May 2017,32,-2,-5.9%,-,-
April 2017,34,-12,-26.1%,-,-
March 2017,46,-7,-13.2%,-,-
February 2017,53,-3,-5.4%,-,-
January 2017,56,+7,+14.3%,-,-
December 2016,49,-6,-10.9%,-,-
November 2016,55,+19,+52.8%,-,-
October 2016,36,+1,+2.9%,-,-
