Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,14,-5,-26.3%,4,-20.0%
April 2025,19,-1,-5.0%,5,-16.7%
March 2025,20,-8,-28.6%,6,-40.0%
February 2025,28,-3,-9.7%,10,-23.1%
January 2025,31,+1,+3.3%,13,+8.3%
December 2024,30,-3,-9.1%,12,-14.3%
November 2024,33,-6,-15.4%,14,-6.7%
October 2024,39,+2,+5.4%,15,+0.0%
September 2024,37,0,+0.0%,15,-6.3%
August 2024,37,-2,-5.1%,16,+0.0%
July 2024,39,+5,+14.7%,16,+14.3%
June 2024,34,-9,-20.9%,14,-22.2%
May 2024,43,-1,-2.3%,18,+0.0%
April 2024,44,-1,-2.2%,18,+12.5%
March 2024,45,-11,-19.6%,16,-23.8%
February 2024,56,+5,+9.8%,21,+5.0%
January 2024,51,-7,-12.1%,20,+0.0%
December 2023,58,+12,+26.1%,20,+33.3%
November 2023,46,+1,+2.2%,15,-11.8%
October 2023,45,0,+0.0%,17,+0.0%
September 2023,45,-8,-15.1%,17,-5.6%
August 2023,53,+11,+26.2%,18,+20.0%
July 2023,42,+3,+7.7%,15,-6.3%
June 2023,39,-3,-7.1%,16,-5.9%
May 2023,42,-8,-16.0%,17,+6.3%
April 2023,50,+1,+2.0%,16,+0.0%
March 2023,49,+3,+6.5%,16,-15.8%
February 2023,46,-4,-8.0%,19,-13.6%
January 2023,50,+2,+4.2%,22,+10.0%
December 2022,48,+7,+17.1%,20,+33.3%
November 2022,41,-4,-8.9%,15,-6.3%
October 2022,45,+2,+4.7%,16,-
September 2022,43,+7,+19.4%,-,-
August 2022,36,-5,-12.2%,-,-
July 2022,41,+3,+7.9%,-,-
June 2022,38,-2,-5.0%,-,-
May 2022,40,-6,-13.0%,-,-
April 2022,46,-8,-14.8%,-,-
March 2022,54,-3,-5.3%,-,-
February 2022,57,+1,+1.8%,-,-
January 2022,56,-1,-1.8%,-,-
December 2021,57,-2,-3.4%,-,-
November 2021,59,-6,-9.2%,-,-
October 2021,65,+16,+32.7%,-,-
September 2021,49,0,+0.0%,-,-
August 2021,49,-4,-7.5%,-,-
July 2021,53,-1,-1.9%,-,-
June 2021,54,-7,-11.5%,-,-
May 2021,61,+2,+3.4%,-,-
April 2021,59,-10,-14.5%,-,-
March 2021,69,-1,-1.4%,-,-
February 2021,70,+2,+2.9%,-,-
January 2021,68,-4,-5.6%,-,-
December 2020,72,+13,+22.0%,-,-
November 2020,59,+12,+25.5%,-,-
