Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,60,-6,-9.1%,22,-8.3%
April 2025,66,-2,-2.9%,24,-11.1%
March 2025,68,-2,-2.9%,27,-3.6%
February 2025,70,-4,-5.4%,28,-9.7%
January 2025,74,-8,-9.8%,31,-3.1%
December 2024,82,+13,+18.8%,32,+18.5%
November 2024,69,-39,-36.1%,27,-25.0%
October 2024,108,+41,+61.2%,36,+56.5%
September 2024,67,0,+0.0%,23,-14.8%
August 2024,67,-11,-14.1%,27,-10.0%
July 2024,78,+19,+32.2%,30,+30.4%
June 2024,59,-14,-19.2%,23,-17.9%
May 2024,73,-1,-1.4%,28,-12.5%
April 2024,74,-14,-15.9%,32,-13.5%
March 2024,88,-8,-8.3%,37,-2.6%
February 2024,96,+23,+31.5%,38,+22.6%
January 2024,73,-4,-5.2%,31,+6.9%
December 2023,77,+2,+2.7%,29,+11.5%
November 2023,75,+12,+19.0%,26,+18.2%
October 2023,63,-12,-16.0%,22,-18.5%
September 2023,75,+10,+15.4%,27,-3.6%
August 2023,65,-9,-12.2%,28,-6.7%
July 2023,74,-26,-26.0%,30,-3.2%
June 2023,100,+29,+40.8%,31,+34.8%
May 2023,71,+4,+6.0%,23,+0.0%
April 2023,67,+4,+6.3%,23,-8.0%
March 2023,63,-8,-11.3%,25,-3.8%
February 2023,71,-1,-1.4%,26,-3.7%
January 2023,72,-3,-4.0%,27,-6.9%
December 2022,75,+15,+25.0%,29,+38.1%
November 2022,60,+9,+17.6%,21,+10.5%
October 2022,51,0,+0.0%,19,-
September 2022,51,0,+0.0%,-,-
August 2022,51,-11,-17.7%,-,-
July 2022,62,+4,+6.9%,-,-
June 2022,58,-10,-14.7%,-,-
May 2022,68,-3,-4.2%,-,-
April 2022,71,-10,-12.3%,-,-
March 2022,81,-11,-12.0%,-,-
February 2022,92,-21,-18.6%,-,-
January 2022,113,+14,+14.1%,-,-
December 2021,99,-34,-25.6%,-,-
November 2021,133,-24,-15.3%,-,-
October 2021,157,+95,+153.2%,-,-
September 2021,62,-24,-27.9%,-,-
August 2021,86,+2,+2.4%,-,-
July 2021,84,+8,+10.5%,-,-
June 2021,76,-13,-14.6%,-,-
May 2021,89,-12,-11.9%,-,-
