Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"2,082",+228,+12.3%,868,+6.5%
April 2025,"1,854",-494,-21.0%,815,-17.4%
March 2025,"2,348",+19,+0.8%,987,-3.0%
February 2025,"2,329","-1,803",-43.6%,"1,018",-18.5%
January 2025,"4,132","+1,430",+52.9%,"1,249",-14.5%
December 2024,"2,702",-385,-12.5%,"1,461",+36.2%
November 2024,"3,087","-5,337",-63.4%,"1,073",-53.0%
October 2024,"8,424","+6,363",+308.7%,"2,285",+167.9%
September 2024,"2,061",-70,-3.3%,853,+5.8%
August 2024,"2,131",+208,+10.8%,806,-11.9%
July 2024,"1,923",+413,+27.4%,915,+41.4%
June 2024,"1,510",-237,-13.6%,647,-14.6%
May 2024,"1,747",-797,-31.3%,758,-12.8%
April 2024,"2,544",+875,+52.4%,869,+20.0%
March 2024,"1,669",-566,-25.3%,724,-20.6%
February 2024,"2,235",+833,+59.4%,912,+27.4%
January 2024,"1,402",-39,-2.7%,716,-10.8%
December 2023,"1,441",-349,-19.5%,803,+10.2%
November 2023,"1,790",+112,+6.7%,729,+17.4%
October 2023,"1,678",-169,-9.1%,621,-10.9%
September 2023,"1,847",+259,+16.3%,697,-7.9%
August 2023,"1,588",-853,-34.9%,757,-11.2%
July 2023,"2,441",+240,+10.9%,852,+3.0%
June 2023,"2,201",+871,+65.5%,827,+45.9%
May 2023,"1,330",+21,+1.6%,567,-6.9%
April 2023,"1,309",-67,-4.9%,609,-9.6%
March 2023,"1,376",-315,-18.6%,674,+2.9%
February 2023,"1,691",+466,+38.0%,655,-1.7%
January 2023,"1,225",-110,-8.2%,666,-7.6%
December 2022,"1,335",+110,+9.0%,721,+15.7%
November 2022,"1,225",-8,-0.6%,623,+7.0%
October 2022,"1,233",-219,-15.1%,582,-
September 2022,"1,452",+382,+35.7%,-,-
August 2022,"1,070",-404,-27.4%,-,-
July 2022,"1,474",+142,+10.7%,-,-
June 2022,"1,332",-357,-21.1%,-,-
May 2022,"1,689",+113,+7.2%,-,-
April 2022,"1,576",-647,-29.1%,-,-
March 2022,"2,223",+587,+35.9%,-,-
February 2022,"1,636","-1,192",-42.1%,-,-
January 2022,"2,828",+124,+4.6%,-,-
December 2021,"2,704","-1,852",-40.6%,-,-
November 2021,"4,556",+518,+12.8%,-,-
October 2021,"4,038","+2,374",+142.7%,-,-
September 2021,"1,664","-1,641",-49.7%,-,-
August 2021,"3,305",+201,+6.5%,-,-
July 2021,"3,104",-607,-16.4%,-,-
June 2021,"3,711",-570,-13.3%,-,-
May 2021,"4,281","+1,399",+48.5%,-,-
April 2021,"2,882","-1,659",-36.5%,-,-
March 2021,"4,541","+1,685",+59.0%,-,-
February 2021,"2,856",-348,-10.9%,-,-
January 2021,"3,204",-207,-6.1%,-,-
December 2020,"3,411",-329,-8.8%,-,-
November 2020,"3,740",+563,+17.7%,-,-
